,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.91,0.19,0.8,0.09,0.03,0.83,0.45,0.73,0.62,0.0
h2database.csv,0.7,0.94,0.4,0.2,0.16,0.17,0.12,0.12,0.05,0.18
hannosset.csv,0.0,0.0,0.0,0.01,0.01,0.83,0.02,0.01,0.0,0.0
jaql.csv,0.66,0.62,0.43,0.95,0.58,0.5,0.56,0.55,0.29,0.05
megameknet.csv,0.39,0.42,0.63,0.62,0.96,0.33,0.58,0.56,0.35,0.68
ngl.csv,0.84,0.75,0.26,0.59,0.59,0.33,0.6,0.98,0.43,0.59
qedo.csv,0.02,0.0,0.0,0.04,0.0,0.0,0.17,0.25,0.25,0.95
qmmp.csv,0.86,0.91,0.31,0.65,0.65,0.67,0.56,0.65,0.97,0.27
raven-monitoring.csv,0.23,0.19,0.97,0.22,0.32,0.33,0.39,0.24,0.13,0.09
v8.csv,0.66,0.6,0.57,0.63,0.64,1.0,1.0,0.95,0.97,0.27
