,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.97,0.98,0.48,0.89,0.83,0.38,0.66,0.51,0.46,0.92
h2database.csv,0.52,0.98,0.78,0.97,0.95,0.88,0.96,0.98,0.75,0.84
hannosset.csv,0.92,0.0,0.0,0.5,0.75,0.8,0.75,0.5,0.0,0.0
jaql.csv,0.44,0.46,0.56,0.57,0.48,0.78,0.6,0.64,0.71,0.56
megameknet.csv,0.71,0.68,0.51,0.53,0.71,0.52,0.54,0.63,0.67,0.73
ngl.csv,0.39,0.39,0.61,0.46,0.52,0.73,0.56,0.56,0.68,0.44
qedo.csv,0.5,0.8,0.0,0.88,0.83,0.88,0.97,0.99,0.97,0.95
qmmp.csv,0.39,0.44,0.5,0.42,0.49,0.4,0.46,0.46,0.54,0.41
raven-monitoring.csv,0.98,0.82,0.63,0.97,0.71,0.96,0.79,0.98,0.97,0.97
v8.csv,0.42,0.51,0.44,0.48,0.51,0.39,0.44,0.47,0.42,0.39
