,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.82,0.82,0.82,0.72,0.0,0.81,0.64,0.72,0.74,0.71
autoopencas.csv,0.92,0.9,0.83,0.77,0.49,0.91,0.0,0.9,0.96,0.76
gogoego.csv,0.72,0.75,0.1,0.89,1.0,0.7,0.95,0.82,0.65,0.92
jam-daq.csv,0.59,0.62,0.67,0.61,0.93,0.75,0.81,0.88,0.03,0.6
jhotdraw.csv,0.78,0.84,0.81,0.82,0.89,0.06,0.87,0.98,0.87,0.82
pokeglobal.csv,0.02,0.64,0.69,0.82,0.62,0.7,0.91,0.5,0.63,0.8
robocode.csv,0.64,0.09,0.71,0.75,0.98,0.85,0.95,0.8,0.62,0.76
springside.csv,0.66,0.66,0.61,0.62,0.88,0.71,0.78,0.02,0.64,0.58
trinitycore.csv,0.92,0.77,0.84,0.16,1.02,0.66,0.83,0.85,0.82,0.11
uwom-server.csv,0.84,0.84,0.74,0.09,0.94,0.75,0.51,0.77,0.83,0.13
