,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.14,0.36,0.26,0.64,0.0,0.22,0.64,0.07,0.41,0.62
autoopencas.csv,0.34,0.57,0.18,0.25,0.17,0.1,0.0,0.46,0.07,0.27
gogoego.csv,0.14,0.5,0.0,0.18,0.09,0.23,0.41,0.05,0.11,0.17
jam-daq.csv,0.17,0.25,0.21,0.17,0.31,0.1,0.39,0.02,0.02,0.17
jhotdraw.csv,0.45,0.14,0.1,0.08,0.26,0.0,0.23,0.03,0.04,0.05
pokeglobal.csv,0.0,0.46,0.57,0.57,0.57,0.67,0.73,0.31,0.56,0.55
robocode.csv,0.03,0.0,0.17,0.28,0.11,0.22,0.28,0.31,0.15,0.27
springside.csv,0.34,0.61,0.45,0.59,0.4,0.67,0.76,0.0,0.54,0.52
trinitycore.csv,0.76,0.75,0.7,0.0,0.86,0.53,0.13,0.74,0.69,0.0
uwom-server.csv,0.55,0.71,0.63,0.0,0.6,0.69,0.4,0.59,0.76,0.01
