,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.3,0.31,0.22,0.37,1.0,0.2,0.53,0.4,0.4,0.37
autoopencas.csv,0.21,0.3,0.22,0.26,0.63,0.13,1.0,0.21,0.08,0.27
gogoego.csv,0.42,0.43,0.95,0.15,0.0,0.29,0.12,0.29,0.48,0.11
jam-daq.csv,0.56,0.5,0.36,0.43,0.17,0.3,0.25,0.21,0.98,0.43
jhotdraw.csv,0.43,0.26,0.26,0.25,0.21,0.97,0.18,0.04,0.23,0.27
pokeglobal.csv,0.99,0.53,0.36,0.26,0.64,0.33,0.26,0.55,0.6,0.27
robocode.csv,0.53,0.95,0.34,0.28,0.05,0.17,0.1,0.28,0.51,0.27
springside.csv,0.52,0.6,0.4,0.45,0.26,0.32,0.42,0.99,0.56,0.45
trinitycore.csv,0.48,0.6,0.29,0.91,0.38,0.31,0.24,0.38,0.47,0.94
uwom-server.csv,0.42,0.46,0.35,0.95,0.29,0.29,0.49,0.38,0.52,0.92
