,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.67,0.38,0.22,0.26,1.0,0.18,0.36,0.67,0.44,0.26
autoopencas.csv,0.38,0.3,0.26,0.26,0.75,0.18,1.0,0.2,0.33,0.26
gogoego.csv,0.75,0.42,1.0,0.18,0.0,0.25,0.11,0.64,0.73,0.15
jam-daq.csv,0.78,0.59,0.36,0.44,0.27,0.37,0.21,0.75,0.98,0.45
jhotdraw.csv,0.54,0.5,0.39,0.43,0.36,1.0,0.2,0.25,0.75,0.56
pokeglobal.csv,1.0,0.5,0.26,0.19,0.56,0.21,0.18,0.5,0.52,0.2
robocode.csv,0.94,1.0,0.38,0.26,0.2,0.15,0.1,0.3,0.69,0.26
springside.csv,0.64,0.5,0.3,0.31,0.33,0.2,0.28,1.0,0.5,0.32
trinitycore.csv,0.48,0.48,0.2,1.0,0.33,0.21,0.33,0.28,0.4,1.0
uwom-server.csv,0.48,0.39,0.24,1.0,0.3,0.19,0.38,0.3,0.42,0.98
