,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.75,0.69,0.7,0.78,0.47,0.29,0.45,0.68,0.46,0.55,0.57,0.59,0.42,0.49,0.7,0.45,0.95,0.63,0.22,0.68
buddata-ebxml-registry.csv,0.13,0.13,0.45,0.82,0.0,0.37,0.0,0.17,0.09,0.17,0.24,0.36,0.57,0.17,0.13,0.17,0.0,0.33,0.94,0.24
cornerstone.csv,0.56,0.34,0.47,0.43,0.26,0.34,0.24,0.36,0.05,0.07,0.7,0.2,0.47,0.47,0.55,0.34,0.55,0.26,0.35,0.09
emeraldemu.csv,0.71,0.66,0.7,0.05,0.19,0.25,0.61,0.71,0.48,0.75,0.53,0.65,0.56,0.4,0.64,0.46,0.76,0.51,0.37,0.56
jahshakafx.csv,0.82,0.64,0.76,0.71,0.39,0.32,0.56,0.75,0.59,0.63,0.62,0.61,0.51,0.69,0.63,0.57,0.75,0.54,0.54,0.71
jaolt.csv,0.8,0.73,0.7,0.59,0.26,0.3,0.67,0.62,0.57,0.52,0.5,0.29,0.68,0.59,0.66,0.59,0.76,0.54,0.4,0.6
kmess.csv,0.45,0.66,0.64,0.5,0.28,0.3,0.69,0.7,0.6,0.67,0.49,0.13,0.19,0.45,0.62,0.67,0.74,0.57,0.32,0.55
maya-work-in-progress.csv,0.64,0.68,0.77,0.47,0.62,0.59,0.57,0.62,0.53,0.86,0.54,0.64,0.58,0.57,0.6,0.6,0.46,0.71,0.63,0.59
mia.csv,0.34,0.35,0.35,0.43,0.07,0.28,0.5,0.45,0.48,0.54,0.58,0.59,0.17,0.66,0.2,0.43,0.76,0.45,0.09,0.56
mp-rechnungs-und-kundenverwaltung.csv,0.81,0.65,0.73,0.58,0.19,0.35,0.5,0.54,0.55,0.49,0.49,0.57,0.63,0.62,0.61,0.51,0.54,0.47,0.36,0.62
novembre.csv,0.71,0.69,0.4,0.37,0.26,0.39,0.73,0.48,0.59,0.46,0.52,0.13,0.45,0.61,0.66,0.46,0.96,0.48,0.36,0.38
ns-3.csv,0.62,0.66,0.52,0.57,0.48,0.67,0.41,0.45,0.55,0.65,0.56,0.41,0.62,0.63,0.5,0.44,0.35,0.58,0.56,0.59
nullc.csv,0.6,0.0,0.0,0.09,0.69,0.44,0.69,0.65,0.48,0.26,0.64,0.05,0.51,0.39,0.63,0.63,0.75,0.54,0.58,0.71
open-beos.csv,0.83,0.75,0.73,0.73,0.48,0.44,0.65,0.69,0.64,0.49,0.37,0.43,0.59,0.62,0.71,0.52,0.85,0.59,0.51,0.58
pixel-commandos.csv,0.05,0.52,0.25,0.41,0.17,0.17,0.38,0.2,0.15,0.11,0.07,0.0,0.17,0.22,0.32,0.31,0.99,0.23,0.33,0.24
plee-the-bear.csv,0.8,0.48,0.78,0.05,0.47,0.59,0.53,0.49,0.62,0.69,0.57,0.32,0.64,0.59,0.57,0.58,0.77,0.58,0.64,0.59
reaper-ecad.csv,0.29,0.13,0.15,0.65,0.19,0.01,0.09,0.21,0.06,0.04,0.15,0.2,0.18,0.0,0.15,0.11,0.0,0.07,0.18,0.06
unladen-swallow.csv,0.38,0.47,0.49,0.05,0.19,0.39,0.53,0.51,0.49,0.49,0.33,0.46,0.65,0.55,0.6,0.16,0.52,0.2,0.16,0.25
xmoto.csv,0.62,0.67,0.58,0.1,0.53,0.57,0.71,0.62,0.54,0.61,0.53,0.26,0.42,0.3,0.67,0.59,0.7,0.72,0.56,0.14
zxing.csv,0.68,0.63,0.73,0.46,0.41,0.28,0.55,0.54,0.4,0.39,0.55,0.53,0.6,0.52,0.67,0.52,0.75,0.47,0.41,0.76
