,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.0,0.0,0.0,0.0,15.0,9.0,2.0,9.0,0.0,2.0,0.0,16.0,0.0,3.0,0.0,9.0
arsenal-1.csv,1.0,0.0,111.0,0.0,5.0,17.0,0.0,1.0,0.0,0.0,96.0,139.0,0.0,0.0,0.0,0.0
bnetd.csv,12.0,0.0,7.0,4.0,18.0,25.0,0.0,0.0,0.0,17.0,3.0,4.0,0.0,3.0,0.0,1.0
cascading.csv,6.0,1.0,4.0,0.0,6.0,13.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,4.0
fm-classic.csv,83.0,0.0,111.0,57.0,68.0,0.0,73.0,71.0,0.0,70.0,96.0,139.0,64.0,270.0,144.0,0.0
free-evolution.csv,4.0,0.0,7.0,0.0,21.0,70.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
gnome-jabber.csv,0.0,0.0,2.0,2.0,26.0,27.0,1.0,0.0,0.0,0.0,2.0,10.0,1.0,4.0,0.0,5.0
guineu.csv,0.0,0.0,2.0,2.0,25.0,70.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,5.0,0.0,3.0
ipfilter.csv,0.0,0.0,2.0,2.0,56.0,27.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,5.0,0.0,11.0
jruby.csv,1.0,0.0,111.0,0.0,28.0,12.0,0.0,6.0,0.0,17.0,1.0,2.0,2.0,6.0,0.0,3.0
l2j.csv,4.0,0.0,1.0,2.0,8.0,12.0,1.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,4.0
libmesh.csv,0.0,0.0,2.0,2.0,18.0,20.0,1.0,0.0,0.0,4.0,3.0,15.0,0.0,5.0,0.0,8.0
mvdsv.csv,0.0,53.0,111.0,57.0,0.0,70.0,73.0,71.0,149.0,70.0,96.0,139.0,0.0,270.0,144.0,98.0
stajistics.csv,18.0,0.0,2.0,2.0,49.0,6.0,3.0,0.0,0.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0
twostep.csv,9.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0
x4x.csv,0.0,0.0,0.0,0.0,27.0,70.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,9.0
