,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.54,0.57,0.98,0.44,1.0,0.33,0.41,0.12,0.62,0.46,0.32,0.58,0.37,0.46,0.4,0.4
arsenal-1.csv,0.23,0.19,0.0,0.96,1.0,1.0,0.1,0.04,0.18,0.77,0.0,0.0,0.02,0.16,0.17,0.1
bnetd.csv,0.77,0.76,0.83,0.74,1.0,1.0,0.92,0.42,0.62,0.77,0.85,0.48,0.85,0.67,0.48,0.57
cascading.csv,0.54,0.43,0.52,0.44,1.0,1.0,0.56,0.31,1.0,0.73,0.08,0.33,0.3,0.45,0.67,0.57
fm-classic.csv,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.07
free-evolution.csv,0.08,0.48,0.17,0.52,1.0,0.0,0.08,0.12,0.17,0.23,0.39,0.91,0.7,0.08,0.29,0.13
gnome-jabber.csv,0.88,0.69,0.88,0.3,1.0,0.67,0.77,0.69,0.86,1.0,1.0,0.88,0.59,0.83,0.74,0.9
guineu.csv,1.0,0.38,0.33,0.15,1.0,0.0,0.1,0.15,0.11,0.31,0.57,0.18,0.22,0.12,0.16,0.1
ipfilter.csv,0.58,0.83,0.62,0.81,0.67,0.67,0.21,0.81,0.8,0.92,0.79,0.52,0.98,0.84,0.79,0.87
jruby.csv,0.42,0.76,0.0,0.74,1.0,0.67,0.03,0.12,0.62,0.85,0.28,0.09,0.63,0.51,0.99,0.53
l2j.csv,0.77,0.74,0.71,0.63,1.0,0.67,0.64,0.35,0.79,0.88,0.22,0.7,0.39,0.98,0.9,0.7
libmesh.csv,0.35,0.29,0.29,0.59,1.0,0.33,0.44,1.0,0.31,0.23,0.55,0.39,0.3,0.56,0.4,0.37
mvdsv.csv,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
stajistics.csv,0.46,0.43,0.42,0.37,0.33,1.0,0.49,0.38,0.34,0.81,0.78,0.52,0.67,0.36,0.27,0.93
twostep.csv,0.62,0.64,0.29,0.48,1.0,1.0,0.33,0.08,0.43,0.96,0.49,0.18,0.54,0.36,0.41,0.57
x4x.csv,0.92,1.0,0.69,0.52,1.0,0.0,0.54,0.62,0.69,0.62,0.86,0.3,0.83,0.55,0.21,0.8
