,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.44,0.67,0.98,0.48,0.26,0.1,0.48,0.13,0.69,0.55,0.48,0.34,0.49,0.57,0.55,0.28
arsenal-1.csv,0.32,0.31,0.0,0.98,0.26,0.1,0.19,0.07,0.3,0.56,0.0,0.0,0.04,0.27,0.29,0.16
bnetd.csv,0.43,0.79,0.62,0.58,0.19,0.09,0.96,0.31,0.7,0.49,0.89,0.33,0.8,0.71,0.6,0.47
cascading.csv,0.38,0.57,0.56,0.52,0.26,0.11,0.63,0.28,1.0,0.72,0.14,0.28,0.44,0.56,0.75,0.54
fm-classic.csv,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.12
free-evolution.csv,0.12,0.6,0.25,0.47,0.24,0.0,0.12,0.16,0.27,0.34,0.56,0.95,0.74,0.14,0.45,0.19
gnome-jabber.csv,0.47,0.72,0.61,0.33,0.17,0.06,0.61,0.46,0.81,0.54,0.98,0.37,0.59,0.78,0.79,0.47
guineu.csv,1.0,0.51,0.45,0.21,0.2,0.0,0.18,0.23,0.19,0.46,0.71,0.24,0.33,0.2,0.27,0.16
ipfilter.csv,0.35,0.8,0.49,0.59,0.12,0.06,0.3,0.51,0.79,0.51,0.86,0.28,0.98,0.76,0.83,0.43
jruby.csv,0.44,0.79,0.0,0.61,0.16,0.12,0.05,0.17,0.71,0.51,0.43,0.12,0.64,0.59,1.0,0.51
l2j.csv,0.43,0.77,0.61,0.59,0.22,0.08,0.65,0.28,0.81,0.59,0.35,0.43,0.53,0.99,0.89,0.49
libmesh.csv,0.33,0.4,0.36,0.52,0.24,0.06,0.48,0.91,0.45,0.31,0.7,0.23,0.42,0.62,0.54,0.29
mvdsv.csv,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
stajistics.csv,0.33,0.57,0.4,0.43,0.07,0.17,0.51,0.36,0.49,0.62,0.86,0.32,0.73,0.51,0.41,0.97
twostep.csv,0.44,0.73,0.4,0.52,0.24,0.19,0.44,0.11,0.57,0.98,0.65,0.22,0.62,0.5,0.55,0.54
x4x.csv,0.48,0.99,0.64,0.53,0.16,0.0,0.52,0.48,0.73,0.48,0.9,0.33,0.79,0.64,0.34,0.47
