,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.55,0.55,0.98,0.47,0.81,0.37,0.44,0.14,0.54,0.51,0.36,0.54,0.41,0.48,0.42,0.39
arsenal-1.csv,0.27,0.22,0.0,0.97,0.81,0.61,0.12,0.05,0.21,0.66,0.0,0.0,0.02,0.19,0.2,0.12
bnetd.csv,0.48,0.65,0.6,0.56,0.54,0.24,0.93,0.38,0.59,0.51,0.0,0.49,0.67,0.61,0.44,0.58
cascading.csv,0.51,0.47,0.55,0.48,0.81,0.69,0.59,0.34,1.0,0.75,0.1,0.37,0.34,0.47,0.41,0.6
fm-classic.csv,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.09
free-evolution.csv,0.1,0.5,0.2,0.5,0.78,0.0,0.1,0.14,0.2,0.27,0.44,0.93,0.67,0.1,0.34,0.16
gnome-jabber.csv,0.46,0.43,0.34,0.33,0.3,0.35,0.41,0.52,0.32,0.0,0.77,0.37,0.19,0.52,0.49,0.47
guineu.csv,1.0,0.41,0.38,0.18,0.62,0.0,0.12,0.18,0.13,0.36,0.53,0.21,0.26,0.15,0.19,0.12
ipfilter.csv,0.45,0.47,0.45,0.45,0.27,0.41,0.25,0.55,0.43,0.0,0.0,0.47,0.97,0.29,0.44,0.17
jruby.csv,0.46,0.65,0.0,0.63,0.0,0.65,0.04,0.14,0.59,0.4,0.31,0.11,0.45,0.5,0.99,0.56
l2j.csv,0.45,0.59,0.64,0.61,0.7,0.53,0.64,0.35,0.7,0.68,0.25,0.66,0.43,0.98,0.54,0.65
libmesh.csv,0.39,0.32,0.33,0.55,0.78,0.36,0.46,0.98,0.35,0.27,0.51,0.39,0.34,0.5,0.43,0.39
mvdsv.csv,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
stajistics.csv,0.45,0.47,0.42,0.41,0.3,0.87,0.5,0.41,0.38,0.73,0.49,0.51,0.65,0.41,0.3,0.94
twostep.csv,0.59,0.63,0.33,0.51,0.78,0.89,0.37,0.1,0.47,0.97,0.51,0.21,0.54,0.4,0.42,0.6
x4x.csv,0.39,0.98,0.67,0.54,0.09,0.0,0.5,0.59,0.53,0.57,0.0,0.34,0.66,0.54,0.24,0.59
