,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.41,0.5,0.02,0.35,0.54,0.25,0.34,0.37,0.64,0.13,0.2,0.57,0.32,0.41,0.47,0.65
arsenal-1.csv,0.09,0.17,0.0,0.0,0.54,0.76,0.0,0.07,0.09,0.58,0.0,0.06,0.0,0.18,0.11,0.07
bnetd.csv,0.81,0.58,0.72,0.71,0.81,0.94,0.0,0.72,0.52,0.78,1.0,0.46,0.63,0.55,0.68,0.36
cascading.csv,0.57,0.25,0.28,0.23,0.54,0.69,0.26,0.5,0.0,0.18,0.0,0.32,0.16,0.39,0.84,0.23
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free-evolution.csv,0.09,0.42,0.18,0.58,0.59,0.07,0.29,0.17,0.3,0.07,0.0,0.0,0.42,0.04,0.11,0.13
gnome-jabber.csv,0.84,0.83,0.9,0.45,0.92,0.88,0.86,0.74,0.91,1.0,0.6,0.89,0.95,0.79,0.79,0.84
guineu.csv,0.0,0.42,0.1,0.23,0.75,0.06,0.06,0.11,0.12,0.02,0.6,0.09,0.21,0.09,0.05,0.07
ipfilter.csv,0.76,0.83,0.78,0.84,0.92,0.84,0.17,0.76,0.85,1.0,1.0,0.65,0.05,0.92,0.84,0.96
jruby.csv,0.22,0.58,0.0,0.61,1.0,0.4,0.0,0.15,0.52,0.87,0.4,0.13,0.79,0.54,0.0,0.25
l2j.csv,0.83,0.67,0.55,0.45,0.68,0.71,0.37,0.65,0.52,0.64,0.4,0.47,0.21,0.0,0.79,0.49
libmesh.csv,0.34,0.5,0.28,0.58,0.59,0.41,0.43,0.11,0.21,0.16,0.6,0.61,0.32,0.66,0.42,0.49
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stajistics.csv,0.6,0.25,0.6,0.29,0.78,0.43,0.46,0.43,0.21,0.47,0.8,0.52,0.42,0.17,0.37,0.0
twostep.csv,0.52,0.42,0.13,0.32,0.59,0.37,0.2,0.17,0.24,0.0,0.4,0.14,0.47,0.24,0.53,0.23
x4x.csv,0.88,0.08,0.4,0.39,0.98,0.57,0.6,0.52,0.73,0.56,1.0,0.16,0.63,0.49,0.32,0.71
