,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.43,0.48,0.74,0.51,0.51,0.42,0.56,0.46,0.52,0.68,0.71
azureus.csv,0.65,0.45,0.44,0.51,0.57,0.57,0.72,0.65,0.51,0.72,0.62
forester-atv.csv,0.68,0.7,0.28,0.19,0.29,0.43,0.42,0.48,0.56,0.26,0.19
gabel.csv,0.0,0.64,0.53,0.49,0.75,0.69,0.37,0.66,0.15,0.26,0.23
google-collections.csv,0.84,0.0,0.0,0.0,0.0,0.0,0.17,0.55,0.0,0.0,0.13
javaprofiler.csv,0.61,0.44,0.56,0.5,0.67,0.2,0.56,0.65,0.45,0.75,0.81
mycila.csv,0.0,0.35,0.38,0.4,0.56,0.72,0.62,0.55,0.29,0.42,0.44
neodatis-odb.csv,0.0,0.41,0.52,0.66,0.37,0.44,0.62,0.15,0.14,0.61,0.64
pokenetonline.csv,0.61,0.39,0.13,0.47,0.48,0.56,0.3,0.78,0.66,0.52,0.51
rcp-company-uibindings.csv,0.76,0.6,0.51,0.48,0.63,0.52,0.61,0.32,0.45,0.88,0.25
servicestack.csv,0.01,0.78,0.43,0.28,0.0,0.12,0.13,0.12,0.76,0.1,0.04
