,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.9,0.5,0.82,0.57,0.82,0.35,0.19,0.38,0.74,0.24
chaosrts.csv,0.87,0.58,1.0,0.83,0.25,0.5,0.52,0.31,1.0,0.75
lazarus-ccr.csv,0.72,0.79,1.0,0.83,0.57,0.65,0.52,0.88,1.0,0.86
linuxsh.csv,0.82,0.67,0.82,0.22,0.68,0.35,0.0,0.0,0.12,0.06
migen.csv,0.69,0.54,0.36,0.52,0.57,0.68,0.0,0.06,0.18,0.67
moviesandbox.csv,0.82,0.5,0.45,0.54,0.73,0.5,0.1,0.06,0.23,0.78
sauerbraten.csv,0.79,0.71,1.0,0.91,0.95,0.79,0.71,0.88,0.88,0.91
scite-ru.csv,0.95,0.96,1.0,0.87,0.91,0.97,0.38,0.81,0.51,1.0
vrjuggler.csv,0.15,0.75,0.0,0.13,0.23,0.26,0.33,0.69,0.15,0.95
xuggle.csv,0.74,0.58,0.73,0.74,0.73,0.68,0.62,0.19,0.75,0.42
