,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.3,0.49,0.63,0.59,0.51,0.39,0.22,0.41,0.72,0.28
chaosrts.csv,0.62,0.61,0.0,0.73,0.29,0.52,0.53,0.34,0.0,0.77
lazarus-ccr.csv,0.44,0.79,0.0,0.26,0.49,0.56,0.51,0.59,0.0,0.68
linuxsh.csv,0.52,0.5,0.77,0.26,0.58,0.39,0.0,0.0,0.14,0.07
migen.csv,0.65,0.46,0.41,0.56,0.6,0.67,0.0,0.07,0.21,0.58
moviesandbox.csv,0.74,0.48,0.49,0.56,0.71,0.53,0.12,0.07,0.27,0.67
sauerbraten.csv,0.77,0.69,0.0,0.35,0.5,0.48,0.46,0.39,0.32,0.37
scite-ru.csv,0.56,0.27,0.56,0.56,0.43,0.44,0.42,0.63,0.5,0.0
vrjuggler.csv,0.18,0.5,0.0,0.16,0.27,0.3,0.37,0.67,0.18,0.21
xuggle.csv,0.68,0.58,0.53,0.75,0.63,0.62,0.62,0.22,0.62,0.44
