,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.33,0.37,0.5,0.47,0.42,0.67,0.68,0.44,0.53,0.56
chaosrts.csv,0.35,0.65,0.44,0.52,0.95,0.47,0.5,0.89,0.45,0.49
lazarus-ccr.csv,0.42,0.52,0.44,0.51,0.63,0.43,0.58,0.47,0.45,0.45
linuxsh.csv,0.35,0.49,0.57,0.97,0.44,0.71,0.67,0.0,0.95,0.9
migen.csv,0.37,0.45,0.86,0.71,0.44,0.45,0.0,0.83,0.89,0.44
moviesandbox.csv,0.35,0.61,0.94,0.77,0.4,0.61,0.88,0.67,0.97,0.45
sauerbraten.csv,0.42,0.5,0.44,0.53,0.44,0.42,0.44,0.41,0.5,0.42
scite-ru.csv,0.32,0.37,0.4,0.54,0.39,0.4,0.67,0.38,0.55,0.38
vrjuggler.csv,0.9,0.42,0.75,0.96,0.84,0.88,0.71,0.56,0.95,0.39
xuggle.csv,0.34,0.42,0.39,0.58,0.38,0.37,0.36,0.54,0.39,0.53
