,exordium.csv,mptvseries.csv,toped.csv,qtractor.csv,flexpay.csv,openmsx.csv,synergyspace.csv,elateportal.csv,tango-cs.csv
elateportal.csv,0.29,0.52,0.7,0.59,0.29,0.48,0.23,0.98,0.44
exordium.csv,0.64,0.54,0.9,0.69,0.32,0.35,0.22,0.12,0.4
flexpay.csv,0.38,0.21,0.57,0.52,0.34,0.55,0.13,0.65,0.28
mptvseries.csv,0.44,0.68,0.67,0.48,0.29,0.37,0.23,0.09,0.43
openmsx.csv,0.41,0.4,0.81,0.56,0.28,0.56,0.27,0.66,0.23
qtractor.csv,0.61,0.58,0.85,0.79,0.32,0.34,0.26,0.16,0.42
synergyspace.csv,0.22,0.42,0.18,0.29,0.26,0.33,0.49,0.17,0.3
tango-cs.csv,0.33,0.51,0.78,0.65,0.29,0.47,0.28,0.33,0.47
toped.csv,0.39,0.55,0.88,0.6,0.25,0.41,0.35,0.85,0.54
