,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,98.5,198.0,57.5,98.5,183.0,99.0,98.5,97.5,99.0,191.0,98.5,1059.0,291.5,99.0,378.0,98.5,92.5,273.5
brlcad.csv,98.5,594.0,1420.5,555.0,188.0,84.5,98.5,97.5,98.5,94.5,74.5,152.0,190.0,98.5,76.5,98.5,99.0,95.5
genoviz.csv,80.5,91.5,0.0,169.0,0.0,212.5,98.5,54.5,190.0,235.5,85.5,42.5,91.5,90.5,88.5,0.0,89.5,95.5
gnupdate.csv,98.5,594.0,267.5,98.5,188.0,99.0,285.5,97.5,99.0,528.0,89.5,1031.0,290.5,99.0,96.5,98.5,99.0,372.0
google-gears.csv,98.5,594.0,241.5,98.5,560.0,99.0,674.5,97.5,99.0,581.5,98.5,1771.0,291.5,99.0,374.0,98.5,99.0,180.0
konversation.csv,98.5,594.0,174.0,98.5,373.0,198.0,187.0,97.5,99.0,623.5,98.5,1594.0,95.5,99.0,97.5,98.5,99.0,1527.5
linux-ntfs.csv,95.5,198.0,341.5,757.5,638.5,198.0,98.5,97.5,197.5,197.5,98.5,1688.0,388.0,97.5,98.5,98.5,99.0,194.0
linuxsh.csv,98.5,198.0,1166.0,453.5,469.5,84.5,98.5,68.5,239.5,340.0,46.5,56.5,94.5,99.0,76.5,92.5,175.0,382.0
modplug.csv,98.5,594.0,1519.0,98.5,936.0,198.0,98.5,97.5,99.0,197.5,98.5,1442.5,291.5,99.0,196.0,98.5,99.0,95.5
nativeclient.csv,98.5,396.0,510.0,98.5,464.5,98.5,98.5,97.5,99.0,286.5,96.5,934.5,94.5,99.0,196.0,98.5,99.0,95.5
ogre.csv,132.0,198.0,532.5,557.0,353.0,99.0,386.0,286.5,99.0,98.5,98.5,1874.0,388.0,99.0,98.5,98.5,99.0,1144.0
openfrag.csv,98.5,198.0,773.5,98.5,562.0,198.0,98.5,97.5,99.0,191.0,98.5,77.5,193.0,99.0,197.0,98.5,99.0,95.5
projecteqemu.csv,98.5,198.0,770.5,98.5,746.0,192.5,98.5,97.5,99.0,191.0,91.5,77.5,192.0,99.0,196.0,80.5,99.0,95.5
qse.csv,98.5,198.0,27.5,98.5,89.5,88.5,72.5,97.5,99.0,191.0,98.5,701.0,291.5,99.0,80.5,93.5,92.5,273.5
sandiaportals.csv,98.5,594.0,1519.0,98.5,564.0,84.5,98.5,97.5,99.0,191.0,91.5,156.0,291.5,99.0,196.0,98.5,99.0,95.5
sauerbraten.csv,98.5,495.0,1519.0,98.5,936.0,198.0,98.5,97.5,395.5,197.5,98.5,1878.0,388.0,99.0,197.0,98.5,99.0,194.0
turbotrader-bos.csv,98.5,198.0,172.0,98.5,188.0,88.5,96.5,97.5,480.5,191.0,91.5,77.5,193.0,99.0,88.5,96.5,92.5,180.0
xapian.csv,93.5,495.0,974.0,98.5,371.0,196.5,98.5,97.5,99.0,98.5,98.5,564.5,193.0,99.0,197.0,93.5,99.0,95.5
