,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.71,0.0,0.82,0.87,0.62,0.8,0.81,0.98,0.75,0.78
libtorrent.csv,0.82,0.81,0.88,0.61,0.81,0.11,0.88,1.0,0.86,0.9
mcmc-jags.csv,0.51,0.93,0.58,0.07,0.74,0.61,0.63,0.71,0.75,0.68
nebuladevice.csv,0.95,0.91,0.71,0.94,0.72,0.89,0.76,0.86,0.0,0.93
olap-navigator.csv,0.02,0.77,0.8,0.33,0.46,0.48,0.83,0.67,0.51,0.71
pidgin.csv,0.6,0.74,0.64,0.61,0.02,0.73,0.57,0.65,0.62,0.71
salasaga.csv,0.87,0.87,0.75,0.96,0.9,0.97,0.83,0.0,0.85,0.87
sepgsql.csv,0.87,0.87,0.04,0.93,0.93,0.98,0.96,0.96,1.0,0.9
xstore.csv,0.46,0.75,0.68,0.52,0.47,0.55,0.0,0.53,0.84,0.7
xtreemfs.csv,0.61,0.81,0.42,0.87,0.54,0.57,0.47,0.6,0.62,0.02
