,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.38,1.0,0.22,0.13,0.73,0.48,0.52,0.93,0.33,0.27
libtorrent.csv,0.75,0.86,0.96,0.73,0.95,1.0,0.96,1.0,1.0,0.98
mcmc-jags.csv,0.59,0.59,0.44,0.93,0.7,0.49,0.72,0.68,0.47,0.88
nebuladevice.csv,0.36,0.09,0.3,0.07,0.31,0.18,0.24,0.14,1.0,0.07
olap-navigator.csv,0.98,0.91,0.93,0.73,0.68,0.58,0.72,0.82,0.6,0.95
pidgin.csv,0.59,0.68,0.85,0.47,0.98,0.61,0.74,0.82,0.87,0.78
salasaga.csv,0.82,0.91,0.78,0.87,0.87,0.77,0.78,1.0,0.6,0.94
sepgsql.csv,0.16,0.14,0.96,0.07,0.07,0.02,0.04,0.04,0.0,0.1
xstore.csv,0.72,0.55,1.0,0.53,0.74,0.47,1.0,0.64,0.33,0.85
xtreemfs.csv,0.74,0.59,0.74,0.13,0.49,0.45,0.61,0.46,0.47,1.0
