,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.33,0.0,0.27,0.1,0.56,0.61,0.66,0.97,0.35,0.28
libtorrent.csv,0.78,0.8,0.88,0.55,0.81,0.11,0.88,1.0,0.86,0.9
mcmc-jags.csv,0.3,0.83,0.18,0.0,0.67,0.33,0.56,0.63,0.52,0.67
nebuladevice.csv,0.7,0.03,0.07,0.07,0.19,0.33,0.02,0.05,0.0,0.1
olap-navigator.csv,0.0,0.77,0.8,0.19,0.33,0.22,0.78,0.64,0.32,0.7
pidgin.csv,0.44,0.67,0.62,0.29,0.0,0.61,0.51,0.62,0.61,0.67
salasaga.csv,0.85,0.87,0.72,0.95,0.89,0.94,0.8,0.0,0.75,0.87
sepgsql.csv,0.22,0.1,0.0,0.0,0.05,0.06,0.05,0.01,0.01,0.03
xstore.csv,0.37,0.6,0.68,0.24,0.39,0.17,0.0,0.39,0.51,0.69
xtreemfs.csv,0.56,0.7,0.33,0.05,0.17,0.17,0.27,0.26,0.32,0.02
