,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.54,0.0,0.25,0.23,0.36,0.27,0.48,0.33,0.1,0.53,0.42
biopax.csv,0.77,0.6,0.37,0.88,0.28,0.78,0.88,0.85,0.05,0.86,0.9
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.63,0.3,0.34,0.35,0.0,0.3,0.42,0.52,0.2,0.44,0.26
les-indemodables.csv,0.17,0.05,0.31,0.08,0.21,0.14,0.0,0.54,0.0,0.33,0.16
metacosm.csv,0.34,0.12,0.18,0.23,0.13,0.08,0.38,0.38,0.1,0.39,0.0
moviesandbox.csv,0.0,0.05,0.25,0.42,0.13,0.41,0.37,0.18,0.2,0.37,0.26
sigil.csv,0.43,0.22,0.15,0.27,0.0,0.0,0.34,0.18,0.0,0.5,0.16
unflobtactical.csv,0.31,0.05,0.29,0.0,0.08,0.3,0.23,0.21,0.45,0.44,0.13
xtreemfs.csv,0.54,0.48,0.21,0.62,0.41,0.22,0.29,0.0,0.1,0.55,0.19
yale.csv,0.4,0.72,0.0,0.62,0.77,0.73,0.54,0.41,0.95,0.07,0.42
