,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.6,0.0,0.68,0.37,0.55,0.38,0.55,0.37,0.48,0.53,0.46
biopax.csv,0.78,0.65,0.66,0.89,0.57,0.79,0.88,0.86,0.05,0.86,0.91
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kml.csv,0.67,0.56,0.57,0.43,0.03,0.41,0.56,0.69,0.48,0.44,0.58
les-indemodables.csv,0.64,0.77,0.66,0.52,0.7,0.57,0.08,0.94,0.85,0.47,0.58
metacosm.csv,0.53,0.65,0.72,0.64,0.62,0.56,0.56,0.52,0.46,0.52,0.04
moviesandbox.csv,0.02,0.77,0.68,0.67,0.73,0.59,0.51,0.34,0.57,0.76,0.45
sigil.csv,0.46,0.57,0.61,0.41,0.86,0.0,0.45,0.29,0.7,0.5,0.37
unflobtactical.csv,0.53,0.91,0.66,0.0,0.73,0.52,0.59,0.39,1.02,0.44,0.86
xtreemfs.csv,0.74,0.93,0.68,0.67,0.47,0.48,0.46,0.0,0.91,0.55,0.77
yale.csv,0.83,0.87,0.08,0.75,0.92,1.01,0.86,0.8,1.15,0.67,0.88
