,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.69,1.0,0.27,0.76,0.59,0.76,0.57,0.87,0.68,0.09,0.71
biopax.csv,0.71,0.65,0.25,0.71,0.55,0.75,0.56,0.87,0.99,0.06,0.61
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kml.csv,0.68,0.58,0.31,0.74,0.99,0.74,0.53,0.67,0.7,0.11,0.54
les-indemodables.csv,0.51,0.36,0.27,0.63,0.43,0.57,0.96,0.35,0.27,0.1,0.55
metacosm.csv,0.63,0.49,0.26,0.51,0.51,0.59,0.52,0.75,0.7,0.08,0.98
moviesandbox.csv,0.99,0.36,0.26,0.54,0.39,0.62,0.56,0.82,0.61,0.05,0.65
sigil.csv,0.77,0.57,0.36,0.73,0.24,1.0,0.61,0.85,0.46,0.1,0.72
unflobtactical.csv,0.62,0.16,0.27,1.0,0.41,0.65,0.49,0.79,0.14,0.11,0.23
xtreemfs.csv,0.52,0.25,0.28,0.68,0.7,0.67,0.6,1.0,0.18,0.09,0.35
yale.csv,0.34,0.48,0.95,0.56,0.43,0.34,0.29,0.45,0.43,0.17,0.26
