,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.35,0.66,0.46,0.14,0.23,0.05,0.38,0.94,0.21,0.76,0.62,0.34
e-bio-flow.csv,0.35,0.49,0.25,0.53,0.66,0.01,0.07,0.96,0.0,0.65,0.65,0.32
freedom-erp.csv,0.1,0.03,0.08,0.0,0.36,0.01,0.22,0.12,0.57,0.0,0.32,0.01
jbasic.csv,0.4,0.44,0.75,0.38,0.73,0.69,0.7,0.73,1.0,0.18,0.19,0.65
jgossipforum.csv,0.15,0.29,0.35,0.29,0.04,0.06,0.02,0.29,0.5,0.61,0.05,0.18
joustsim.csv,0.3,0.69,0.38,0.56,0.54,0.35,0.08,0.63,0.64,0.87,0.49,0.61
jsidplay2.csv,0.2,0.41,0.56,0.82,0.96,0.1,0.8,0.63,0.86,0.29,0.73,0.64
madman.csv,0.2,0.27,0.17,0.09,0.04,0.1,0.22,0.2,0.0,0.31,0.08,0.13
mule.csv,0.05,0.39,0.56,0.05,0.64,0.23,0.3,0.33,0.86,0.1,0.46,0.42
nunit.csv,0.2,0.17,0.48,0.26,0.16,0.17,0.27,0.51,0.0,0.34,0.27,0.23
power-architect.csv,0.75,0.86,0.79,0.73,0.66,0.82,0.85,0.98,0.21,0.98,0.76,0.97
reaper3d.csv,0.3,0.14,0.23,0.44,0.29,0.44,0.0,0.14,0.43,0.33,0.14,0.26
