,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.18,0.12,0.11,0.06,0.0,0.38,0.0,0.0,0.23,0.02
fityk.csv,0.27,0.33,0.74,0.63,0.66,0.06,0.39,0.77,0.45,0.39
freenet.csv,0.17,0.41,0.74,0.67,0.71,0.1,0.43,0.71,0.47,0.39
geogebra.csv,0.23,0.44,0.72,0.56,0.73,0.05,0.51,0.48,0.43,0.52
hibernate.csv,0.23,0.38,0.58,0.64,0.5,0.15,0.47,0.71,0.5,0.44
itext.csv,0.29,0.37,0.77,0.67,0.75,0.07,0.37,0.76,0.45,0.4
k3b.csv,0.28,0.34,0.75,0.75,0.7,0.09,0.38,0.74,0.48,0.38
lamp.csv,0.3,0.39,0.72,0.82,0.75,0.05,0.47,0.67,0.45,0.37
megameknet.csv,0.27,0.39,0.72,0.61,0.72,0.0,0.5,0.75,0.41,0.37
thout.csv,0.15,0.54,0.78,0.61,0.69,0.07,0.35,0.67,0.36,0.37
