,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.84,0.02,0.08,0.08,0.0,0.13,0.0,0.0,0.15,0.03
fityk.csv,0.45,0.86,0.84,0.12,0.57,0.27,0.76,0.32,0.47,0.55
freenet.csv,0.56,0.63,0.39,0.75,0.93,0.69,0.62,0.86,0.59,0.76
geogebra.csv,0.3,0.08,0.65,0.25,0.43,0.37,0.13,0.32,0.33,0.22
hibernate.csv,0.07,0.77,0.19,0.5,0.07,0.32,0.39,0.55,0.28,0.31
itext.csv,0.36,1.0,0.88,0.46,0.2,0.99,0.97,0.73,0.95,0.76
k3b.csv,0.51,0.82,0.69,0.25,0.23,0.75,0.88,0.73,0.66,0.88
lamp.csv,0.24,0.23,0.53,0.96,0.6,0.67,0.38,0.5,0.42,0.9
megameknet.csv,0.19,0.69,0.45,0.5,0.6,0.36,0.25,0.59,0.36,0.69
thout.csv,0.54,0.22,0.79,0.79,1.0,0.48,0.87,0.86,0.58,0.87
