,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.45,0.83,0.95,0.75,0.0,0.94,0.0,0.0,0.91,0.9
fityk.csv,0.46,0.53,0.36,0.48,0.45,0.79,0.51,0.36,0.54,0.45
freenet.csv,0.6,0.55,0.42,0.55,0.42,0.41,0.52,0.41,0.55,0.44
geogebra.csv,0.57,0.68,0.32,0.52,0.35,0.54,0.54,0.52,0.45,0.49
hibernate.csv,0.92,0.53,0.52,0.51,0.79,0.64,0.54,0.44,0.59,0.56
itext.csv,0.45,0.46,0.36,0.39,0.37,0.31,0.47,0.34,0.44,0.41
k3b.csv,0.42,0.57,0.36,0.41,0.45,0.37,0.49,0.33,0.47,0.41
lamp.csv,0.62,0.66,0.37,0.39,0.41,0.42,0.49,0.44,0.5,0.41
megameknet.csv,0.9,0.56,0.38,0.63,0.43,0.68,0.57,0.45,0.56,0.47
thout.csv,0.64,0.55,0.35,0.58,0.42,0.49,0.51,0.45,0.48,0.42
