,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.46,0.09,0.07,0.04,0.0,0.97,0.0,0.0,0.21,0.01
fityk.csv,0.73,0.41,0.46,0.53,0.65,0.29,0.57,0.72,0.61,0.63
freenet.csv,0.54,0.65,0.68,0.5,0.27,0.69,0.69,0.41,0.65,0.58
geogebra.csv,0.53,0.41,0.62,0.47,0.73,0.28,0.56,0.4,0.53,0.65
hibernate.csv,0.25,0.55,0.49,0.55,0.4,0.73,0.69,0.63,0.59,0.61
itext.csv,0.69,0.0,0.39,0.59,0.73,0.05,0.13,0.59,0.21,0.58
k3b.csv,0.79,0.46,0.62,0.68,0.67,0.62,0.4,0.57,0.64,0.4
lamp.csv,0.6,0.47,0.65,0.17,0.73,0.45,0.69,0.61,0.59,0.35
megameknet.csv,0.47,0.61,0.66,0.52,0.69,0.0,0.64,0.65,0.51,0.59
thout.csv,0.49,0.66,0.54,0.43,0.0,0.5,0.4,0.4,0.52,0.42
