,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.86,0.07,0.06,0.03,0.0,1.0,0.0,0.0,0.18,0.01
fityk.csv,0.79,0.77,0.85,0.48,0.74,0.25,0.88,0.73,0.63,0.7
freenet.csv,0.57,0.8,0.7,0.66,1.0,1.0,0.87,0.8,0.76,0.9
geogebra.csv,0.5,0.36,0.76,0.43,0.79,0.25,0.51,0.36,0.5,0.62
hibernate.csv,0.21,0.84,0.45,0.57,0.35,0.75,0.71,0.7,0.57,0.59
itext.csv,0.71,1.0,0.91,0.6,0.71,1.0,1.0,0.84,0.98,0.91
k3b.csv,0.93,0.75,0.82,0.66,0.65,1.0,0.94,0.8,0.83,0.94
lamp.csv,0.57,0.43,0.72,0.97,0.91,0.5,0.71,0.64,0.59,0.95
megameknet.csv,0.43,0.8,0.69,0.53,0.85,0.0,0.62,0.77,0.49,0.76
thout.csv,0.5,0.64,0.9,0.59,1.0,0.5,0.84,0.73,0.55,0.92
