,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.13,0.41,0.47,0.56,0.54,0.24,0.97,0.74,0.4,0.14,0.0,0.46,0.14,0.58,0.5,0.56,0.37,0.4
fbmanager.csv,0.44,0.34,0.97,0.49,0.65,0.28,0.33,0.47,0.4,0.19,0.25,0.39,0.43,0.52,0.79,0.33,0.45,0.6
fido.csv,0.0,0.0,0.0,0.01,0.02,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
fityk.csv,0.72,0.5,0.79,0.76,0.77,0.57,0.58,0.74,1.0,0.32,0.25,0.84,1.0,0.79,0.85,0.78,0.75,0.8
fleet-simulator.csv,0.9,0.88,0.91,0.9,0.98,1.0,1.0,1.0,1.0,0.91,1.0,0.87,0.93,0.79,0.97,1.0,0.87,1.0
google-caja.csv,0.69,0.91,0.88,0.99,0.88,0.71,0.81,0.76,1.0,0.8,1.0,0.83,0.75,0.97,0.88,0.85,0.8,1.0
hibernate.csv,0.16,0.5,0.15,0.37,0.42,0.31,0.33,0.56,1.0,0.53,0.5,0.33,0.18,0.79,0.53,0.31,0.91,0.8
itext.csv,0.31,0.5,0.5,0.4,0.58,0.62,0.39,0.97,1.0,0.46,0.25,0.64,0.61,0.55,0.56,0.56,0.39,0.6
k3b.csv,0.57,0.72,0.68,0.5,0.73,0.98,0.69,0.85,1.0,0.87,0.25,0.64,0.57,0.55,0.68,0.69,0.6,0.4
megameknet.csv,0.46,0.81,0.59,0.41,0.48,0.53,0.31,0.88,0.8,0.66,0.25,0.94,0.55,0.7,0.53,0.57,0.44,0.4
myfaces.csv,0.44,0.5,0.38,0.41,0.94,0.38,0.11,0.53,0.6,0.13,0.75,0.22,0.16,0.45,0.21,0.59,0.56,0.4
ninject.csv,0.21,0.22,0.18,0.08,0.29,0.12,0.28,0.35,0.8,0.3,0.25,0.36,0.18,0.12,0.26,0.15,0.23,1.0
ondex.csv,0.43,0.38,0.32,0.18,0.4,0.26,0.03,0.59,0.8,0.24,0.25,0.32,0.2,0.91,0.21,0.7,0.5,0.4
paintown.csv,0.94,0.31,0.56,0.58,0.77,0.47,0.36,0.26,1.0,0.85,1.0,0.59,0.45,0.48,0.62,0.61,0.73,0.6
poormans.csv,0.32,0.38,0.32,0.29,0.48,0.33,0.25,0.71,0.6,0.48,0.25,0.48,0.25,0.33,1.0,0.35,0.29,0.4
powerfolder.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
smartgwt.csv,0.24,0.62,0.18,0.5,0.5,0.5,0.28,0.5,0.8,0.98,0.25,0.45,0.16,0.33,0.38,0.3,0.4,0.4
triplea.csv,0.4,1.0,0.32,0.6,0.73,0.6,0.56,0.53,0.8,0.43,0.5,0.45,0.32,0.39,0.62,0.54,0.4,0.6
