,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.93,0.7,0.73,0.7,0.69,0.81,0.03,0.81,0.79,0.66,0.75
bscwweasel.csv,0.9,1.0,0.91,0.2,0.76,1.0,1.0,0.95,1.0,0.92,0.98
capcode.csv,0.95,0.93,0.96,0.81,1.0,0.25,0.9,0.74,0.96,0.8,0.89
lamp.csv,1.0,0.0,0.91,0.8,0.81,0.75,0.98,0.95,0.78,0.84,0.95
nodal.csv,0.87,0.79,0.67,0.78,0.64,0.84,0.96,0.81,0.04,0.61,0.83
pydev.csv,0.98,0.8,0.71,0.8,0.56,0.8,0.77,0.88,0.8,0.0,0.73
retromenu.csv,0.99,0.86,0.73,0.7,0.1,0.71,0.98,0.89,0.8,0.55,0.96
smbopensoft.csv,0.03,0.6,0.45,0.63,0.62,0.63,0.85,0.83,0.73,0.62,0.68
stuproa-cims.csv,0.99,0.98,0.85,0.56,0.98,0.81,0.97,0.09,0.97,0.76,0.58
thout.csv,0.99,0.81,0.09,0.79,0.65,0.74,0.79,0.76,0.64,0.87,0.9
uface.csv,1.0,0.82,0.77,0.57,0.82,0.66,0.98,0.75,0.69,0.75,0.0
