,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.41,0.1,0.24,0.13,0.33,0.12,0.99,0.23,0.25,0.39,0.65
bscwweasel.csv,0.67,0.0,0.57,1.0,0.71,0.0,0.0,1.0,0.0,1.0,1.0
capcode.csv,1.0,0.08,0.11,0.17,0.0,1.0,0.79,0.26,0.17,0.4,0.8
lamp.csv,0.0,1.0,0.5,0.5,0.8,0.6,0.5,0.21,0.83,0.55,0.83
nodal.csv,0.68,0.17,0.48,0.14,0.53,0.18,1.0,0.29,1.0,0.48,0.83
pydev.csv,0.18,0.12,0.23,0.11,0.44,0.13,0.82,0.33,0.24,1.0,0.65
retromenu.csv,1.0,0.29,0.6,0.55,0.95,0.19,0.67,0.75,0.31,0.63,1.0
smbopensoft.csv,0.98,0.13,0.39,0.22,0.38,0.17,0.71,0.2,0.26,0.42,0.71
stuproa-cims.csv,0.49,0.1,0.24,0.17,0.32,0.16,0.74,0.98,0.27,0.36,0.76
thout.csv,1.0,0.08,0.98,0.11,0.39,0.15,0.68,0.24,0.34,0.23,0.5
uface.csv,0.49,0.11,0.25,0.17,0.36,0.18,0.73,0.26,0.3,0.37,1.0
