,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,xreal.csv
agilitybook.csv,0.02,0.28,0.02,0.05,0.0,0.03,0.01,0.02
apolloplayer.csv,0.45,0.05,0.66,0.81,0.25,0.26,0.33,0.46
k3d.csv,0.65,0.01,0.01,0.11,0.0,0.03,0.0,0.06
kowari.csv,0.15,0.0,0.01,0.16,0.25,0.09,0.0,0.02
redshell.csv,1.0,0.99,1.0,1.0,0.75,0.99,0.99,0.97
rtb-team.csv,0.0,0.16,0.12,0.05,0.0,0.01,0.13,0.06
xreal.csv,0.05,0.13,0.03,0.03,0.12,0.19,0.12,0.01
