,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.94,0.88,0.28,1.0,0.83,0.53,0.7,0.0,0.91,0.6
electric-core.csv,0.61,0.07,0.44,0.79,0.86,0.89,0.78,0.65,0.89,1.01
jahshakafx.csv,0.02,0.62,0.59,0.69,0.77,0.58,0.79,0.92,0.65,0.57
jython.csv,0.55,0.58,0.14,0.71,0.67,0.64,0.68,0.59,0.5,0.6
kftpgrabber.csv,0.72,0.52,0.48,0.53,0.96,0.77,0.95,0.74,0.03,0.77
mvnforum.csv,0.8,0.88,0.68,0.93,0.06,0.75,0.93,0.89,0.97,0.76
openmalaria.csv,0.56,0.59,0.45,0.78,0.93,0.61,0.0,0.63,0.58,0.71
plplot.csv,0.48,0.62,1.0,0.49,0.7,0.14,0.45,0.68,0.49,0.43
popeye-chess.csv,0.37,0.58,1.02,0.03,0.72,0.45,0.51,0.57,0.52,0.56
zxing.csv,0.46,0.58,0.64,0.44,0.65,0.72,0.69,0.79,0.74,0.02
