,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.02,0.27,0.07,0.02,0.66,0.32,0.12,0.0,0.1,0.47
electric-core.csv,0.49,0.0,0.15,0.48,0.84,0.88,0.41,0.47,0.77,1.0
jahshakafx.csv,0.0,0.11,0.01,0.02,0.39,0.09,0.04,0.11,0.13,0.24
jython.csv,0.53,0.31,0.01,0.52,0.55,0.16,0.16,0.21,0.37,0.53
kftpgrabber.csv,0.17,0.33,0.32,0.27,0.18,0.09,0.06,0.26,0.0,0.29
mvnforum.csv,0.4,0.12,0.01,0.84,0.0,0.33,0.37,0.37,0.35,0.12
openmalaria.csv,0.24,0.46,0.2,0.09,0.86,0.21,0.0,0.58,0.45,0.71
plplot.csv,0.42,0.55,0.99,0.18,0.55,0.0,0.39,0.58,0.44,0.35
popeye-chess.csv,0.32,0.51,0.97,0.0,0.57,0.14,0.18,0.21,0.37,0.29
zxing.csv,0.36,0.12,0.02,0.34,0.61,0.12,0.18,0.26,0.73,0.0
