,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.62,0.69,0.85,0.89,0.94,0.92,0.7,0.47,0.61,0.71,0.64,0.98,0.73,0.81
baadengine.csv,0.47,0.5,0.37,0.44,0.54,0.38,0.41,0.33,0.38,0.34,0.3,0.33,0.37,0.37
bnetd.csv,0.53,0.37,0.51,0.52,0.58,0.41,0.44,0.4,0.54,0.7,0.3,0.39,0.4,0.55
impala.csv,0.93,0.96,0.64,0.57,0.74,0.52,0.54,0.5,0.42,0.83,0.61,0.79,0.77,0.7
jaxen.csv,0.43,0.42,0.51,0.56,0.63,0.85,0.65,0.44,0.47,0.43,0.31,0.4,0.49,0.54
jgameai.csv,0.86,0.83,0.93,0.7,0.55,0.7,0.95,0.92,0.88,0.92,0.8,0.89,0.97,0.0
jparsec.csv,0.48,0.52,0.42,0.45,0.54,0.38,0.43,0.43,0.43,0.35,0.29,0.32,0.39,0.48
motu.csv,0.49,0.36,0.54,0.75,0.67,0.42,0.42,0.38,0.5,0.55,0.34,0.4,0.42,0.45
vars-redux.csv,0.47,0.69,0.47,0.54,0.67,0.57,0.48,0.44,0.38,0.48,0.41,0.35,0.41,0.44
werx.csv,0.42,0.37,0.41,0.49,0.54,0.42,0.46,0.38,0.39,0.39,0.32,0.33,0.36,0.39
wishmaster.csv,0.9,0.93,0.93,0.67,0.0,0.92,0.89,0.43,0.62,0.67,0.88,0.69,0.62,0.92
xreal.csv,0.98,0.96,0.96,0.92,0.75,0.0,0.88,0.95,0.67,0.88,0.75,0.83,0.88,0.75
zealos.csv,0.85,0.82,0.93,0.92,0.59,0.9,0.83,0.76,0.83,0.83,0.52,0.88,0.62,0.71
