,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.5,0.48,0.76,0.47,0.5,0.5,0.2,0.65,0.71,0.48
fritzing.csv,0.74,0.72,0.75,0.59,0.74,0.75,0.1,0.25,0.71,0.43
jlinalg.csv,0.78,0.36,0.65,0.71,0.55,1.0,0.9,0.9,0.54,0.66
knowledge.csv,0.78,0.82,0.75,0.84,0.87,0.75,0.1,0.65,0.62,0.77
massiv.csv,0.12,0.3,0.33,0.0,0.0,1.0,0.0,0.6,0.0,0.0
multitude.csv,0.76,0.46,0.83,0.81,0.79,0.75,0.5,0.85,0.54,0.68
playerstage.csv,0.48,0.8,0.89,0.74,0.79,0.5,0.1,0.7,0.5,0.48
quarkplusplus.csv,0.64,0.74,0.78,0.41,0.65,1.0,0.1,0.95,0.58,0.66
rtrt-on-gpu.csv,0.18,0.56,0.18,0.33,0.26,0.0,0.7,0.0,0.12,0.32
superwaba.csv,0.34,0.72,0.61,0.38,0.6,0.75,0.3,0.9,0.42,0.46
