,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.09,0.82,0.7,0.91,0.97,0.94,0.88,0.82,0.89,1.0
h2database.csv,0.48,0.06,0.69,0.8,0.84,0.84,0.9,0.89,0.95,0.88
hannosset.csv,1.0,1.0,1.0,0.99,0.99,0.17,0.98,0.99,1.0,1.0
jaql.csv,0.49,0.53,0.62,0.05,0.47,0.58,0.64,0.63,0.84,1.04
megameknet.csv,0.64,0.63,0.7,0.53,0.04,0.94,0.63,0.77,0.96,0.58
ngl.csv,0.59,0.65,0.83,0.59,0.46,0.75,0.8,0.02,0.71,0.64
qedo.csv,0.98,1.0,1.0,0.96,1.0,1.01,0.88,0.86,0.78,0.05
qmmp.csv,0.63,0.55,0.84,0.66,0.48,0.66,0.76,0.63,0.03,0.97
raven-monitoring.csv,0.78,0.85,0.03,0.78,0.69,0.73,0.81,0.89,0.95,0.92
v8.csv,0.61,0.55,0.51,0.5,0.45,0.93,0.08,0.94,0.98,0.84
