,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.93,0.23,0.62,0.11,0.04,0.26,0.41,0.5,0.43,0.0
h2database.csv,0.68,0.95,0.43,0.24,0.19,0.2,0.14,0.15,0.06,0.21
hannosset.csv,0.0,0.0,0.0,0.01,0.01,0.86,0.02,0.01,0.0,0.0
jaql.csv,0.66,0.62,0.47,0.96,0.61,0.53,0.56,0.55,0.32,0.06
megameknet.csv,0.43,0.46,0.57,0.62,0.97,0.33,0.57,0.51,0.34,0.64
ngl.csv,0.71,0.64,0.29,0.59,0.62,0.37,0.51,0.98,0.45,0.57
qedo.csv,0.02,0.0,0.0,0.05,0.0,0.0,0.2,0.28,0.29,0.96
qmmp.csv,0.69,0.76,0.34,0.59,0.65,0.6,0.51,0.61,0.98,0.28
raven-monitoring.csv,0.27,0.22,0.97,0.26,0.37,0.37,0.4,0.27,0.15,0.11
v8.csv,0.62,0.6,0.6,0.64,0.66,0.27,0.98,0.24,0.09,0.3
