,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,3.0,5.0,6.0,1.0,1.0,0.0,0.0,20.0,17.0,0.0
gamestone.csv,0.0,0.0,1.0,2.0,11.0,0.0,5.0,6.0,1.0,0.0
gbif-providertoolkit.csv,0.0,59.0,0.0,102.0,0.0,0.0,0.0,3.0,1.0,0.0
heekscad.csv,0.0,8.0,5.0,1.0,14.0,0.0,2.0,1.0,2.0,0.0
igarden.csv,1.0,9.0,2.0,0.0,4.0,0.0,7.0,4.0,1.0,0.0
levent.csv,1.0,5.0,9.0,7.0,1.0,0.0,2.0,10.0,5.0,0.0
owlapi.csv,0.0,59.0,0.0,102.0,80.0,0.0,111.0,0.0,3.0,57.0
pnotepad.csv,3.0,23.0,2.0,4.0,4.0,0.0,0.0,33.0,15.0,0.0
quark.csv,0.0,59.0,126.0,0.0,0.0,71.0,111.0,155.0,0.0,57.0
xcsoar.csv,0.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,12.0,0.0
