,flylinkdc.csv,dvt.csv,rtb-team.csv,utgb.csv,unimrcp.csv,jsr308-langtools.csv,stemkit.csv,carabiner.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,0.36,0.51,0.38,0.37,0.41,0.42,0.36,0.4,0.34
carabiner.csv,0.45,0.53,0.69,0.43,0.41,0.5,0.49,0.61,0.68
dvt.csv,0.96,0.71,0.92,0.53,0.89,0.89,0.8,0.51,0.41
flylinkdc.csv,0.68,0.67,0.75,0.8,0.82,0.86,0.71,0.67,0.85
jsr308-langtools.csv,0.41,0.39,0.53,0.36,0.34,0.37,0.48,0.44,0.38
rtb-team.csv,0.58,0.7,0.67,0.54,0.79,0.59,0.62,0.81,0.51
stemkit.csv,0.83,0.96,0.92,0.8,0.92,0.0,0.83,0.5,0.88
unimrcp.csv,0.59,0.68,0.8,0.5,0.64,0.47,0.52,0.88,0.91
utgb.csv,0.94,0.65,0.5,0.58,0.95,0.6,0.92,0.88,0.93
