,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.06,0.13,0.11,0.36,0.36,0.22,0.0,0.53,0.2,0.17,0.39
gbif-providertoolkit.csv,0.89,0.62,0.7,0.43,0.27,0.61,0.65,0.42,1.0,0.85,0.69
geochat.csv,0.47,0.17,0.1,0.39,0.33,0.54,1.0,0.58,0.1,0.33,0.21
heekscad.csv,0.28,0.35,0.23,0.42,0.6,0.41,0.17,0.12,0.7,0.33,0.44
igarden.csv,0.23,0.31,0.17,0.33,0.28,0.52,0.17,0.19,0.3,0.41,0.3
jstock.csv,0.17,0.35,0.34,0.29,0.19,0.39,0.09,0.21,0.2,0.38,0.24
levent.csv,0.19,0.02,0.0,0.0,0.76,0.61,0.3,0.16,0.0,0.0,0.0
piccolo2d.csv,0.04,0.0,0.01,0.0,0.28,0.29,0.13,0.23,0.1,0.21,0.14
pnotepad.csv,0.17,0.62,0.72,0.97,0.87,0.83,0.48,0.7,0.0,0.38,0.71
trinitycore.csv,0.17,0.46,0.25,0.53,0.33,0.45,0.04,0.42,0.2,0.34,0.12
xcsoar.csv,0.19,0.15,0.25,0.51,0.36,0.67,0.26,0.16,0.0,0.31,0.24
