,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,69.0,2.0,9.0,5.0,7.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
bdbbasic.csv,5.0,0.0,1.0,0.0,0.0,2.0,2.0,16.0,6.0,3.0,5.0,0.0,11.0
foursquared.csv,69.0,0.0,0.0,0.0,67.0,1.0,2.0,207.0,1.0,0.0,2.0,0.0,78.0
impala.csv,4.0,1.0,1.0,8.0,4.0,3.0,12.0,3.0,5.0,1.0,0.0,1.0,1.0
jicarilla.csv,2.0,0.0,1.0,69.0,67.0,3.0,9.0,207.0,3.0,5.0,95.0,51.0,11.0
ng4j.csv,8.0,5.0,9.0,3.0,0.0,0.0,0.0,14.0,5.0,1.0,2.0,0.0,5.0
open-data-kit.csv,4.0,0.0,2.0,2.0,9.0,1.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0
pentahoanalysistool.csv,2.0,2.0,0.0,5.0,5.0,2.0,9.0,10.0,16.0,1.0,3.0,0.0,6.0
tradelink.csv,4.0,2.0,2.0,2.0,6.0,4.0,2.0,8.0,7.0,0.0,1.0,0.0,1.0
turbotrader-bos.csv,69.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,1.0
ultimairis.csv,5.0,1.0,8.0,8.0,2.0,1.0,0.0,3.0,11.0,0.0,1.0,0.0,7.0
wikipediardware.csv,4.0,2.0,0.0,13.0,3.0,1.0,4.0,8.0,7.0,0.0,15.0,0.0,11.0
yafdotnet.csv,69.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
