,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,1.0,0.64,0.63,1.0,0.93,0.47,0.69,0.96,1.0,0.66,0.76,0.95,1.0,0.53,0.79,1.0,1.0
codepurge.csv,0.8,0.64,0.76,0.77,0.92,0.57,0.5,0.71,0.76,0.62,0.72,0.74,0.9,0.36,0.6,0.62,0.87
fontforge.csv,0.95,0.87,1.0,1.0,0.99,0.71,0.98,0.36,0.92,1.0,0.6,0.87,0.85,0.95,0.98,0.85,0.97
glas.csv,0.88,0.64,0.43,0.74,0.99,0.63,0.67,0.68,0.82,0.89,0.53,0.83,0.46,0.53,0.91,0.87,0.65
gmerlin.csv,1.0,0.89,0.67,0.82,1.0,0.71,0.98,1.0,0.66,1.0,0.81,0.59,0.78,0.9,1.0,0.5,0.67
hatari.csv,0.61,0.46,0.44,0.77,0.82,0.6,0.79,0.97,0.97,0.81,0.54,0.93,0.8,0.73,0.86,0.68,0.78
jcl.csv,0.51,0.56,0.61,0.69,0.5,0.64,1.06,0.54,0.76,0.74,0.67,0.89,0.87,0.74,0.59,0.88,0.8
ltp.csv,0.75,0.71,0.87,0.67,0.49,0.74,1.3,0.87,0.83,0.6,0.51,0.57,0.82,0.86,0.86,0.79,0.67
mia.csv,0.64,0.97,0.61,0.84,0.99,0.86,0.33,0.49,0.8,0.96,0.58,0.4,0.97,1.0,0.89,0.77,0.81
net-snmp.csv,0.57,0.56,0.83,0.8,0.86,0.82,0.15,0.71,0.66,0.78,0.74,0.76,0.89,0.69,0.85,0.67,0.76
opde.csv,1.0,0.69,1.0,0.55,0.9,0.68,0.31,0.87,0.66,1.0,0.54,0.96,0.87,0.62,0.84,0.73,0.72
oppna-program-hsatools.csv,0.66,0.52,0.66,1.0,0.69,0.51,0.79,0.91,0.91,0.95,0.18,0.99,0.69,0.89,0.71,0.7,0.81
powerfolder-.csv,0.7,0.48,0.7,0.81,0.71,0.78,0.27,0.92,0.55,0.81,0.6,0.95,0.71,0.82,0.95,0.78,0.67
qlc.csv,1.0,0.57,1.0,0.67,0.71,0.58,0.25,1.0,0.49,0.78,0.75,0.83,0.77,0.88,0.55,1.0,0.87
quantlib.csv,1.0,0.9,0.79,1.0,1.0,0.91,1.0,1.0,0.95,1.0,0.97,0.78,1.0,1.0,1.0,0.96,0.47
tcl.csv,0.83,0.84,0.84,0.93,0.74,0.79,1.25,1.0,0.67,0.46,0.76,0.96,0.92,0.85,1.0,0.87,0.81
