,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,99.0,198.0,95.5,195.0,98.5,99.0,196.0,390.0,85.5,393.5,291.0,196.5,197.5,98.5,98.5,1250.5
customsagetv.csv,267.5,99.0,0.0,88.5,98.5,97.5,90.5,91.5,366.5,98.5,245.5,92.5,98.5,154.0,98.5,79.5
fluidium.csv,80.5,16.5,0.0,526.5,94.5,93.5,0.0,75.5,93.5,0.0,0.0,0.0,43.0,98.5,0.0,165.0
guineu.csv,97.5,99.0,0.0,96.5,98.5,196.0,97.5,390.0,494.0,98.5,189.0,96.5,192.0,366.0,98.5,165.0
inkscape.csv,97.5,99.0,98.5,195.0,97.5,99.0,96.5,390.0,494.0,196.5,189.0,196.5,197.5,197.0,98.5,1623.5
mpqc.csv,194.0,1289.5,104.0,66.5,1274.5,387.0,95.5,181.5,536.0,986.0,194.5,70.5,197.5,751.0,233.0,950.5
nsis.csv,99.0,197.5,98.5,96.5,98.5,99.0,196.0,387.0,633.5,197.5,194.5,97.5,197.5,282.5,98.5,265.5
octave.csv,97.5,197.5,91.5,195.0,95.5,99.0,96.5,94.5,494.0,274.5,191.5,96.5,423.0,547.0,98.5,984.5
owfs.csv,99.0,296.5,98.5,94.5,97.5,99.0,196.0,390.0,494.0,295.0,186.0,196.5,293.0,547.0,98.5,1450.5
owlib.csv,99.0,197.5,95.5,195.0,98.5,97.5,196.0,94.5,552.0,98.5,192.0,92.5,96.5,232.5,95.5,518.0
pamguard.csv,99.0,1238.0,95.5,193.0,97.5,99.0,97.5,193.5,85.5,98.5,186.0,293.0,96.5,73.5,193.0,1165.0
prelude.csv,97.5,198.0,98.5,195.0,98.5,99.0,196.0,390.0,494.0,197.5,291.0,97.5,197.5,175.0,98.5,883.0
robocode.csv,97.5,99.0,37.5,181.0,98.5,97.5,97.5,94.5,474.0,98.5,192.0,92.5,98.5,232.5,98.5,700.0
uwom-server.csv,99.0,193.5,91.5,337.5,98.5,192.0,93.5,94.5,557.0,196.5,192.0,92.5,189.0,232.5,98.5,442.5
zengine.csv,99.0,296.5,98.5,195.0,98.5,99.0,196.0,390.0,1488.5,197.5,291.0,97.5,197.5,197.0,98.5,1364.0
zildo.csv,97.5,198.0,98.5,195.0,97.5,97.5,97.5,189.0,85.5,98.5,288.0,97.5,98.5,241.5,98.5,544.0
