,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.58,0.07,0.55,0.23,0.29,0.57,0.95,0.36,0.1,0.46,0.38,0.68
gamestone.csv,0.55,0.94,0.52,0.25,0.4,0.41,0.29,0.31,0.1,0.34,0.22,0.4
gbif-providertoolkit.csv,0.0,0.0,0.33,0.26,0.92,0.18,0.0,0.12,0.1,0.16,0.29,0.22
heekscad.csv,0.99,0.34,0.69,0.52,0.33,0.69,0.56,0.33,0.12,0.44,0.37,0.67
igarden.csv,0.49,0.19,0.42,0.98,0.24,0.47,0.33,0.23,0.06,0.21,0.42,0.34
levent.csv,0.72,0.23,0.61,0.45,0.32,1.0,0.53,0.28,0.09,0.48,0.37,0.78
lportal.csv,0.37,0.24,0.5,0.23,0.12,0.58,0.4,0.21,0.9,0.48,0.29,0.67
openmsx.csv,0.69,0.25,0.4,0.44,0.29,0.47,0.31,0.24,0.07,0.99,0.4,0.61
owlapi.csv,0.35,0.44,0.31,0.18,0.17,0.18,0.27,0.94,0.08,0.43,0.33,0.41
pnotepad.csv,0.81,0.27,0.65,0.48,0.3,0.73,0.5,0.25,0.08,0.55,0.35,0.99
quark.csv,0.44,0.22,0.43,0.22,0.27,0.0,0.0,0.19,0.09,0.14,0.96,0.25
xcsoar.csv,0.66,0.18,0.96,0.32,0.29,0.42,0.34,0.41,0.1,0.5,0.27,0.45
