,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.64,0.73,0.46,0.86,0.46,0.53,0.67,0.58,0.59,0.51,0.41,0.58
gamestone.csv,0.4,0.78,0.5,0.73,0.39,0.53,0.67,0.51,0.59,0.49,0.8,0.58
gbif-providertoolkit.csv,0.0,0.5,0.91,0.93,0.92,0.83,0.0,0.89,0.94,0.91,0.88,0.83
heekscad.csv,0.43,0.41,0.36,0.32,0.34,0.41,0.4,0.43,0.39,0.42,0.37,0.48
igarden.csv,0.77,0.77,0.9,0.7,0.67,0.75,0.93,0.96,1.0,0.95,0.52,0.91
levent.csv,0.49,0.78,0.41,0.39,0.39,0.51,0.41,0.56,0.52,0.49,0.39,0.44
lportal.csv,0.94,0.61,0.63,0.64,0.68,0.76,0.51,0.59,0.99,0.58,0.49,0.58
openmsx.csv,0.51,0.45,0.75,0.33,0.9,0.89,0.91,0.71,0.67,0.69,0.45,0.61
owlapi.csv,0.75,0.79,0.89,0.96,0.76,0.94,0.92,0.85,0.87,0.7,0.91,0.88
pnotepad.csv,0.42,0.45,0.35,0.3,0.35,0.37,0.34,0.5,0.37,0.4,0.32,0.4
quark.csv,0.67,0.0,0.89,0.83,0.88,0.0,0.0,0.86,1.0,0.83,0.79,0.86
xcsoar.csv,0.42,0.71,0.5,0.51,0.54,0.59,0.54,0.49,0.56,0.62,0.42,0.61
