,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.4,0.4,0.54,0.22,0.66,0.39,0.01,0.29,0.32,0.64,0.48,0.4
gamestone.csv,0.19,0.02,0.21,0.26,0.39,0.09,0.2,0.31,0.32,0.3,0.06,0.0
gbif-providertoolkit.csv,0.0,0.04,0.0,0.12,0.0,0.04,0.01,0.05,0.14,0.05,0.1,0.0
heekscad.csv,0.02,0.4,0.39,0.62,0.48,0.57,0.54,0.43,0.5,0.57,0.6,0.2
igarden.csv,0.02,0.21,0.15,0.0,0.01,0.3,0.24,0.17,0.18,0.13,0.33,0.1
levent.csv,0.4,0.29,0.66,0.62,0.64,0.0,0.68,0.6,0.53,0.54,0.6,0.5
lportal.csv,0.62,0.54,0.46,0.53,0.51,0.65,0.74,0.78,0.0,0.68,0.67,0.9
openmsx.csv,0.77,0.9,0.3,0.86,0.24,0.39,0.31,0.65,0.48,0.0,0.67,0.7
owlapi.csv,0.28,0.25,0.3,0.26,0.43,0.43,0.08,0.02,0.26,0.45,0.13,0.3
pnotepad.csv,0.66,0.71,0.79,0.94,0.91,0.57,0.74,0.88,0.94,0.81,0.94,0.0
quark.csv,0.09,0.0,0.03,0.03,0.07,0.0,0.0,0.03,0.07,0.01,0.02,0.0
xcsoar.csv,0.28,0.23,0.01,0.36,0.33,0.13,0.47,0.2,0.39,0.31,0.6,0.3
