,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.67,0.05,0.49,0.27,0.19,0.72,0.97,0.27,0.06,0.38,0.26,0.87
gamestone.csv,0.79,0.89,0.62,0.27,0.28,0.87,0.38,0.23,0.05,0.4,0.4,1.0
gbif-providertoolkit.csv,0.0,0.0,1.0,0.4,1.0,0.83,0.0,0.22,0.07,0.55,0.38,1.0
heekscad.csv,0.99,0.22,0.61,0.38,0.22,0.72,0.43,0.22,0.06,0.39,0.24,0.93
igarden.csv,0.96,0.15,0.62,1.0,0.67,0.71,0.38,0.21,0.04,0.43,0.32,0.91
levent.csv,0.74,0.17,0.49,0.33,0.2,1.0,0.39,0.18,0.05,0.42,0.24,0.87
lportal.csv,0.45,0.15,0.48,0.19,0.08,0.63,0.29,0.13,0.97,0.39,0.19,0.76
openmsx.csv,0.62,0.15,0.48,0.3,0.24,0.67,0.32,0.15,0.04,1.0,0.26,0.77
owlapi.csv,0.59,0.32,0.4,0.21,0.12,0.38,0.54,0.92,0.05,0.41,0.36,0.81
pnotepad.csv,0.7,0.16,0.49,0.31,0.18,0.73,0.36,0.15,0.04,0.41,0.21,1.0
quark.csv,0.85,1.0,0.89,0.67,0.38,0.0,0.0,0.43,0.07,0.83,0.93,1.0
xcsoar.csv,0.77,0.14,0.98,0.3,0.21,0.82,0.3,0.33,0.05,0.52,0.18,0.83
