,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.41,0.45,0.39,0.45,0.33,0.41,0.44,0.43,0.35,0.56,0.43,0.75
dsworkbench.csv,0.49,0.95,0.67,0.0,0.83,0.88,0.58,0.93,0.5,0.89,0.5,0.56
gogoego.csv,0.42,0.62,0.36,0.54,0.89,0.38,0.38,0.39,0.36,0.43,0.8,0.38
jpaul.csv,0.45,0.53,0.8,0.44,0.86,0.0,0.0,0.0,0.96,0.0,0.0,0.0
loki-lib.csv,0.43,0.48,0.89,0.55,0.67,0.56,0.46,0.0,0.73,0.77,0.49,0.47
motu.csv,0.5,0.37,0.36,0.49,0.65,0.47,0.5,0.83,0.35,0.57,0.48,0.54
mp-rechnungs-und-kundenverwaltung.csv,0.86,0.92,0.9,0.46,0.67,0.8,0.89,0.54,0.48,0.56,0.88,0.57
rtrt-on-gpu.csv,0.8,0.74,0.54,0.68,0.89,0.9,0.83,0.89,0.58,0.96,0.81,0.46
scenemonitor.csv,0.39,0.57,0.92,0.53,0.43,0.38,0.36,0.39,0.42,0.43,0.8,0.41
xstore.csv,0.39,0.38,0.44,0.5,0.55,0.38,0.37,0.55,0.39,0.42,0.46,0.45
yarp0.csv,0.49,0.46,0.41,0.65,0.6,0.6,0.76,0.42,0.36,0.58,0.52,0.4
zemljanka.csv,0.38,0.36,0.37,0.46,0.32,0.46,0.4,0.47,0.36,0.48,0.78,0.48
