,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.77,0.23,1.0,0.83,0.71,0.2,0.75,0.25,0.45,0.44,1.0,0.92,0.73,0.58,0.86,0.99,0.97,0.87
bigdata.csv,0.52,0.2,0.21,0.48,0.19,0.1,0.5,0.27,0.35,0.2,0.13,0.12,0.26,0.33,0.46,0.57,0.21,0.1
chaperon.csv,0.43,0.8,0.29,0.62,0.08,0.52,0.75,0.52,0.01,0.36,0.01,0.04,0.19,0.55,0.57,0.35,0.3,0.41
e-bio-flow.csv,0.49,0.3,0.27,0.21,0.56,0.04,0.62,0.29,0.08,0.08,0.64,0.33,0.35,0.59,0.62,0.5,0.3,0.1
exist.csv,0.85,1.0,1.0,0.9,0.88,0.15,0.75,0.27,0.99,0.92,0.87,1.0,0.78,0.88,0.27,0.99,0.93,0.9
freedom-erp.csv,0.37,0.0,0.12,0.52,0.04,0.07,0.25,0.02,0.01,0.0,0.29,0.02,0.12,0.0,0.05,0.0,0.01,0.0
geotools.csv,0.82,0.53,0.85,0.73,0.48,0.39,0.25,0.86,0.6,0.52,0.57,0.18,0.34,0.8,0.35,0.34,0.59,0.36
jaxlib.csv,0.26,0.7,0.33,0.04,0.73,0.29,0.0,0.18,0.37,0.72,0.14,0.33,0.65,0.15,0.27,0.71,0.43,0.81
jppf-project.csv,0.75,0.97,0.54,0.83,0.79,0.88,0.12,0.56,0.89,0.92,0.79,0.73,0.69,0.59,0.7,0.98,0.67,0.48
matrex.csv,0.17,0.37,0.33,0.25,0.02,0.3,0.25,0.01,0.15,0.08,0.2,0.04,0.23,0.03,0.22,0.41,0.16,0.16
mediate.csv,0.15,0.5,0.81,0.88,0.29,0.79,0.75,0.46,0.83,0.36,0.79,0.51,0.48,0.75,0.95,0.57,0.68,0.64
nunit.csv,0.28,0.37,0.56,0.4,0.1,0.07,0.12,0.56,0.01,0.36,0.09,0.2,0.2,0.23,0.32,0.63,0.25,0.26
octet.csv,0.71,1.0,0.67,0.83,0.4,0.43,0.5,0.79,0.75,0.2,0.83,0.18,0.35,0.25,0.46,0.99,0.28,0.13
pokenetonline.csv,1.0,0.83,0.96,1.0,0.92,0.99,1.0,1.0,0.93,0.24,1.0,0.73,0.92,0.98,1.0,0.99,0.8,0.65
reaper3d.csv,0.28,0.03,0.58,0.21,0.4,0.21,0.12,0.28,0.32,0.16,0.66,0.71,0.29,0.3,0.3,0.25,0.51,0.2
simplewebservices.csv,0.83,0.83,0.46,0.96,0.56,0.95,1.0,0.33,0.72,0.96,0.99,0.27,0.65,0.97,0.86,0.34,0.34,0.54
stajistics.csv,0.86,0.63,0.65,1.0,0.48,0.58,1.0,1.0,0.64,0.76,0.97,0.33,0.62,0.67,0.76,0.5,0.48,0.33
swtfox.csv,0.22,0.9,0.15,0.33,0.54,0.71,0.88,0.71,0.92,0.72,0.24,0.37,0.64,0.8,0.76,0.62,0.51,0.81
