,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.46,0.54,0.39,0.29,0.43,0.52,0.35,0.54,0.45,0.34,0.31,0.47,0.38,0.37,0.4,0.35,0.35,0.44
bigdata.csv,0.48,0.65,0.52,0.43,0.67,0.96,0.46,0.57,0.64,0.92,0.74,0.86,0.59,0.62,0.46,0.49,0.63,0.92
chaperon.csv,0.67,0.41,0.67,0.4,0.88,0.56,0.44,0.49,0.67,0.83,0.0,0.67,0.79,0.49,0.63,0.66,0.6,0.5
e-bio-flow.csv,0.47,0.64,0.49,0.82,0.59,0.93,0.5,0.73,0.88,0.82,0.4,0.72,0.56,0.38,0.45,0.39,0.62,0.71
exist.csv,0.38,0.32,0.4,0.31,0.4,0.95,0.38,0.42,0.37,0.36,0.3,0.46,0.4,0.36,0.51,0.36,0.34,0.45
freedom-erp.csv,0.7,0.0,0.71,0.42,0.5,0.95,0.53,0.9,0.0,0.0,0.37,0.67,0.98,0.0,0.97,0.0,0.75,0.0
geotools.csv,0.34,0.39,0.42,0.36,0.48,0.49,0.49,0.34,0.39,0.37,0.33,0.58,0.45,0.44,0.48,0.57,0.42,0.4
jaxlib.csv,0.68,0.43,0.79,0.75,0.54,0.79,0.8,0.97,0.68,0.38,0.93,0.63,0.6,0.94,0.69,0.45,0.63,0.54
jppf-project.csv,0.45,0.33,0.54,0.34,0.53,0.42,0.43,0.52,0.37,0.36,0.35,0.57,0.53,0.56,0.51,0.36,0.5,0.57
matrex.csv,0.94,0.5,0.64,0.77,0.5,0.53,0.64,0.86,0.45,0.86,0.73,0.75,0.75,0.67,0.97,0.81,0.94,0.79
mediate.csv,0.91,0.44,0.49,0.32,0.75,0.4,0.41,0.5,0.38,0.51,0.39,0.63,0.55,0.47,0.41,0.57,0.47,0.56
nunit.csv,0.75,0.52,0.52,0.55,0.8,0.94,0.94,0.47,0.0,0.62,0.91,0.83,0.88,0.84,0.68,0.47,0.69,0.55
octet.csv,0.48,0.32,0.42,0.33,0.55,0.56,0.42,0.42,0.36,0.73,0.31,0.86,0.52,0.69,0.56,0.36,0.62,0.75
pokenetonline.csv,0.39,0.37,0.39,0.3,0.43,0.39,0.33,0.34,0.36,0.41,0.31,0.53,0.42,0.38,0.4,0.35,0.42,0.48
reaper3d.csv,0.69,0.8,0.54,0.9,0.81,0.73,0.91,0.69,0.57,0.88,0.37,0.55,0.81,0.53,0.78,0.81,0.52,0.95
simplewebservices.csv,0.38,0.38,0.4,0.31,0.43,0.43,0.34,0.49,0.45,0.33,0.31,0.61,0.43,0.38,0.43,0.48,0.51,0.47
stajistics.csv,0.37,0.38,0.33,0.3,0.37,0.46,0.32,0.34,0.39,0.35,0.3,0.52,0.33,0.42,0.37,0.4,0.42,0.42
swtfox.csv,0.82,0.4,0.88,0.71,0.61,0.53,0.52,0.49,0.47,0.48,0.95,0.64,0.59,0.44,0.52,0.41,0.58,0.49
