,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.36,0.15,0.59,1.0,0.82
google-gears.csv,0.34,0.2,0.3,0.43,0.87
httpcontentparser.csv,0.3,0.28,0.0,1.0,0.91
qse.csv,0.29,0.17,0.71,0.76,0.89
xmemcached.csv,0.52,0.08,0.26,0.42,0.76
