,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.02,0.9,0.38,0.99,0.24,0.39,0.83,0.91,0.35,0.22,0.05,0.42,0.67,0.16,0.27
encog-cs.csv,0.01,0.89,0.25,0.85,0.26,0.29,0.78,0.93,0.52,0.13,0.02,0.28,0.66,0.25,0.46
extprosys.csv,0.01,0.87,0.46,0.9,0.26,0.29,0.74,0.92,0.35,0.2,0.04,0.34,0.68,0.29,0.32
ibatisdb.csv,0.06,0.88,0.26,0.8,0.24,0.24,0.88,0.91,0.44,0.24,0.06,0.25,0.71,0.57,1.0
intact.csv,0.01,0.88,0.29,0.9,0.3,0.43,0.79,0.94,0.46,0.19,0.04,0.36,0.72,0.27,0.41
japano.csv,0.0,0.88,0.31,0.87,0.29,0.3,0.77,0.98,0.36,0.18,0.02,0.35,0.66,0.25,0.47
lockss.csv,0.03,1.0,0.47,1.0,0.25,0.31,0.76,0.92,0.5,0.33,0.07,0.22,0.79,0.31,0.37
ofbiz.csv,0.0,0.89,0.29,0.89,0.24,0.29,0.78,0.95,0.44,0.21,0.04,0.35,0.82,0.22,0.36
officefloor.csv,0.03,1.0,0.3,0.93,0.27,0.39,1.0,0.9,0.42,0.16,0.06,0.25,0.81,0.28,0.3
opennms.csv,0.02,0.81,0.57,0.93,0.51,0.64,0.82,1.0,0.49,0.29,0.04,0.39,0.71,0.28,0.0
rohxel.csv,0.03,1.0,0.38,0.91,0.4,0.47,0.9,1.0,0.63,0.5,0.01,0.44,0.75,0.2,0.5
roolo.csv,0.0,0.9,0.3,0.88,0.28,0.29,0.74,0.92,0.33,0.15,0.02,0.65,0.68,0.23,0.38
sevenupdate.csv,0.01,0.97,0.28,0.88,0.24,0.29,0.78,0.93,0.36,0.14,0.03,0.34,0.67,0.26,0.38
web-cat.csv,0.01,0.92,0.28,0.88,0.26,0.32,0.77,0.91,0.35,0.2,0.03,0.31,0.71,0.3,0.74
