,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.4,0.11,0.42,0.55,0.5,0.45,0.56,0.99,0.57,0.39,0.4,0.45,0.42,0.81
avifile.csv,0.83,0.0,0.09,0.0,0.0,0.02,0.17,0.06,0.0,0.09,0.24,0.0,0.05,0.0
delphilhlplib.csv,0.23,0.7,0.45,0.65,1.0,0.58,0.52,0.46,0.62,0.5,0.52,0.28,0.2,0.46
fluidium.csv,0.24,0.11,0.25,0.31,0.38,0.23,1.0,0.13,0.23,0.33,0.61,0.18,0.26,0.36
gnome-jabber.csv,0.27,0.36,0.45,0.13,0.0,0.5,0.52,0.33,0.63,0.43,0.7,0.88,0.2,0.72
ipfilter.csv,0.22,0.57,0.0,0.47,0.42,0.11,0.35,0.36,0.23,0.44,0.47,0.0,1.0,0.36
jparsec.csv,0.36,0.0,0.55,0.68,0.0,0.6,0.13,0.54,0.38,0.97,0.62,0.0,0.44,0.59
loki-lib.csv,0.42,0.17,0.65,0.51,0.62,0.59,0.51,0.58,0.68,0.59,1.0,0.5,0.48,0.56
mumble.csv,0.0,0.48,0.25,0.04,0.37,0.35,0.17,0.04,0.93,0.11,0.0,0.1,0.16,0.06
opengs.csv,0.0,0.21,0.21,0.2,0.34,0.94,0.28,0.25,0.32,0.19,0.12,0.01,0.11,0.25
owfs.csv,0.0,0.93,0.15,0.12,0.3,0.2,0.23,0.1,0.28,0.11,0.04,0.12,0.24,0.13
rectracker.csv,0.22,0.59,1.0,0.48,0.23,0.51,0.44,0.56,0.67,0.54,0.49,0.24,0.51,0.57
rockbox.csv,0.0,0.52,0.24,0.34,0.49,0.39,0.47,0.44,0.59,0.21,0.49,0.2,0.44,1.0
zealos.csv,0.41,0.46,0.51,0.94,0.68,0.57,0.53,0.46,0.62,0.62,0.47,0.39,0.43,0.3
