,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.58,0.27,0.52,0.37,0.17,0.82,0.48,0.03,0.37,0.45,0.52,0.4,0.74,0.41
avifile.csv,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.11,0.12,0.16,0.3,0.0,0.0,0.22
delphilhlplib.csv,0.32,0.56,0.26,0.26,0.0,0.64,0.48,0.29,0.46,0.75,0.26,0.2,0.21,0.25
fluidium.csv,0.18,0.23,0.04,0.12,0.83,0.25,0.0,0.17,0.35,0.22,0.52,0.0,0.26,0.19
gnome-jabber.csv,0.88,0.9,0.85,0.97,1.0,0.83,0.72,0.91,0.71,0.86,0.52,0.4,0.95,0.66
ipfilter.csv,0.6,0.77,1.0,0.81,0.22,0.06,0.86,0.69,0.54,0.2,0.57,1.0,0.0,0.25
jparsec.csv,0.74,1.0,0.41,0.54,1.0,0.66,0.97,0.69,0.89,0.0,0.67,1.0,0.79,0.38
loki-lib.csv,0.51,0.96,0.59,0.75,0.39,0.69,0.31,0.6,0.58,0.54,0.0,0.8,0.74,0.31
mumble.csv,0.17,0.31,0.0,0.04,0.89,0.19,0.07,0.03,0.0,0.09,0.0,0.0,0.32,0.03
opengs.csv,0.05,0.13,0.07,0.01,0.22,0.0,0.14,0.09,0.2,0.04,0.02,0.0,0.0,0.06
owfs.csv,0.03,0.0,0.04,0.01,0.22,0.05,0.1,0.03,0.09,0.04,0.11,0.0,0.05,0.0
rectracker.csv,0.55,0.67,0.0,0.16,0.94,0.44,0.86,0.49,0.38,0.61,0.48,0.0,0.32,0.59
rockbox.csv,0.52,0.56,0.41,0.16,0.39,0.29,0.31,0.11,0.25,0.25,0.26,0.0,0.16,0.0
zealos.csv,0.55,0.5,0.52,0.0,0.5,0.69,0.41,0.23,0.55,0.55,0.43,0.2,0.58,0.31
