,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.1,0.38,0.03,0.07,0.0,0.59,0.26,0.3,0.05,0.63,0.1,0.11,0.15,0.0,0.73,0.16,0.66,0.05,0.3,0.06
autofac.csv,0.52,0.0,0.15,0.41,0.29,0.37,0.45,0.53,0.33,0.58,0.53,0.74,0.09,0.56,0.83,0.59,0.5,0.6,0.2,0.39
azureus.csv,0.46,0.75,0.61,0.39,0.57,0.55,0.66,0.54,0.32,0.2,0.51,0.5,0.43,0.51,0.67,0.27,0.84,0.81,0.5,0.08
coot.csv,0.6,0.0,0.15,0.41,0.54,0.55,0.62,0.7,0.27,0.75,0.92,0.88,0.11,0.59,0.77,0.35,0.47,0.58,0.9,0.72
cuberok.csv,0.91,0.81,0.61,0.61,0.31,0.6,0.36,0.5,0.53,0.53,0.35,0.67,0.78,0.56,0.53,0.46,0.28,0.3,0.5,0.36
dsworkbench.csv,0.03,0.25,0.06,0.15,0.17,0.3,0.21,0.05,0.17,0.14,0.0,0.0,0.02,0.1,0.0,0.16,0.03,0.26,0.1,0.06
gabel.csv,0.33,0.5,0.09,0.27,0.17,0.3,0.47,0.23,0.2,0.12,0.27,0.0,0.04,0.2,0.23,0.11,0.5,0.09,0.1,0.08
gephex.csv,0.76,1.0,0.76,0.85,0.49,0.78,1.0,0.87,0.97,0.85,0.8,0.65,0.8,0.37,0.8,0.89,0.88,0.95,0.9,0.78
haggle.csv,0.13,0.19,0.03,0.41,0.0,0.08,0.07,0.22,0.03,0.35,0.06,0.14,0.11,0.34,0.23,0.22,0.59,0.07,0.0,0.03
icescrum.csv,0.25,0.19,0.09,0.24,0.34,0.43,0.33,0.32,0.3,0.17,0.33,0.09,0.15,0.37,0.83,0.32,0.19,0.35,0.2,0.31
javaprofiler.csv,0.79,0.62,0.39,0.59,0.31,0.49,0.72,0.66,0.5,0.53,0.55,0.33,0.22,0.61,0.47,0.27,0.5,0.67,0.6,0.17
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.58,0.38,0.76,0.32,0.57,0.2,0.4,0.52,0.48,0.27,0.35,0.27,0.48,0.73,0.8,0.38,0.91,0.58,0.4,0.14
octet.csv,0.13,0.38,0.79,0.49,0.74,0.4,0.48,0.32,0.38,0.37,0.16,0.29,0.04,0.46,0.53,0.41,0.69,0.44,0.3,0.36
openefm.csv,0.33,0.5,0.15,0.29,0.34,0.7,0.19,0.27,0.33,0.31,0.0,0.2,0.02,0.17,0.2,0.41,0.62,0.14,0.1,0.5
rcp-company-uibindings.csv,0.22,0.62,0.33,0.34,0.54,0.48,0.34,0.33,0.23,0.4,0.41,0.02,0.28,0.56,0.53,0.49,0.22,0.49,0.0,0.11
servicestack.csv,0.12,0.31,0.15,0.05,0.0,0.05,0.17,0.03,0.0,0.09,0.02,0.0,0.17,0.0,0.03,0.0,0.09,0.0,0.0,0.0
synecdoche.csv,0.6,0.62,0.45,0.1,1.0,0.61,0.29,0.43,0.18,0.35,0.59,0.32,0.63,0.32,0.4,0.24,0.75,0.23,0.3,0.5
tmva.csv,1.0,0.94,0.97,1.0,0.37,0.92,0.9,0.98,0.32,0.99,0.94,0.74,1.0,0.54,0.67,0.38,0.88,0.05,1.0,0.89
wsmt.csv,0.12,0.38,0.61,0.15,0.06,0.06,0.14,0.34,0.03,0.24,0.12,0.76,0.7,0.1,0.13,0.08,0.19,0.05,0.5,0.39
