,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.51,0.75,0.36,0.35,0.07,0.24,0.51,0.72,0.46,0.37,0.2,0.28,0.37,0.42
baadengine.csv,0.17,0.5,0.83,0.43,1.0,0.72,0.97,0.73,0.92,0.67,0.97,0.99,0.8,0.38
bnetd.csv,0.47,0.75,0.71,0.51,0.21,0.98,0.17,0.7,0.36,0.26,0.97,0.82,0.58,0.68
impala.csv,0.05,0.0,0.38,0.78,0.46,0.94,0.4,0.16,0.26,0.41,0.7,0.22,0.41,0.17
jaxen.csv,0.97,0.5,0.73,0.89,0.75,0.1,0.54,0.75,0.75,0.78,0.93,0.8,0.69,0.68
jgameai.csv,0.0,0.0,0.1,0.35,0.81,0.06,0.31,0.1,0.41,0.24,0.1,0.04,0.2,0.01
jparsec.csv,0.56,0.75,0.46,0.37,0.93,0.46,0.77,0.45,0.84,0.72,0.9,0.6,0.82,0.3
motu.csv,0.08,1.0,0.8,0.17,0.06,0.96,0.11,0.88,0.25,0.24,0.73,0.73,0.4,0.91
vars-redux.csv,0.99,0.75,0.46,0.27,0.85,0.3,0.34,0.37,0.61,0.52,0.5,0.83,0.7,0.48
werx.csv,0.99,0.0,1.0,0.98,1.0,0.83,0.89,0.9,1.0,0.96,1.0,0.96,0.98,1.0
wishmaster.csv,0.11,0.0,0.07,0.05,0.03,0.11,0.0,0.58,0.26,0.11,0.23,0.25,0.21,0.1
xreal.csv,0.13,0.0,0.26,0.14,0.04,0.0,0.09,0.19,0.05,0.15,0.13,0.28,0.02,0.03
zealos.csv,0.1,0.0,0.17,0.05,0.37,0.09,0.03,0.22,0.05,0.04,0.3,0.03,0.26,0.22
