,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.62,0.42,1.0,0.31,0.1,0.4,0.56,0.82,0.57,0.46,0.76,0.28,0.4,0.33
baadengine.csv,0.76,0.29,1.0,0.42,1.0,1.0,0.92,0.94,0.93,0.85,0.95,1.0,1.0,0.53
bnetd.csv,0.37,0.93,1.0,0.54,0.37,0.8,0.72,0.82,0.29,0.54,0.9,0.88,1.0,0.47
impala.csv,0.06,0.21,1.0,0.88,0.3,0.8,0.38,0.1,0.14,0.31,0.52,0.52,0.8,0.2
jaxen.csv,0.96,0.83,1.0,0.85,0.9,1.0,0.59,0.71,0.93,0.92,0.95,0.96,1.0,0.53
jgameai.csv,0.0,0.02,0.0,0.58,0.5,0.0,0.26,0.08,0.43,0.0,0.05,0.08,0.0,0.0
jparsec.csv,0.82,0.23,1.0,0.35,0.97,0.6,0.85,0.61,0.79,0.77,0.67,0.36,1.0,0.76
motu.csv,0.2,0.77,1.0,0.15,0.03,0.8,0.46,0.94,0.14,0.62,0.67,0.76,0.6,0.89
vars-redux.csv,0.96,0.31,1.0,0.15,0.93,0.6,0.62,0.82,0.57,0.69,0.48,0.84,1.0,0.6
werx.csv,0.98,0.96,1.0,1.0,1.0,1.0,0.87,0.84,1.0,0.85,0.95,0.96,1.0,1.0
wishmaster.csv,0.1,0.07,0.0,0.04,0.03,0.2,0.13,0.65,0.79,0.15,0.29,0.2,0.8,0.18
xreal.csv,0.06,0.11,0.0,0.15,0.03,0.0,0.13,0.1,0.0,0.08,0.0,0.52,1.0,0.04
zealos.csv,0.19,0.08,0.0,0.19,0.8,0.0,0.13,0.12,0.0,0.08,0.38,0.0,0.2,0.22
