,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.73,0.12,0.82,0.48,0.86,0.45,0.58,0.56,1.0,0.5
gamestone.csv,0.1,0.88,0.16,0.35,0.21,0.0,0.03,0.16,0.0,0.08
gbif-providertoolkit.csv,0.61,0.0,0.32,0.23,0.79,0.86,0.74,0.68,0.23,0.48
heekscad.csv,0.77,0.62,0.59,0.61,0.71,0.49,0.74,0.6,0.92,0.81
igarden.csv,0.6,0.62,0.48,0.68,0.57,0.67,0.55,0.48,1.0,0.69
levent.csv,0.74,0.12,0.02,0.0,0.86,0.71,0.66,0.0,0.0,0.08
owlapi.csv,0.7,0.0,0.7,0.23,0.79,0.69,0.95,0.8,0.85,0.83
pnotepad.csv,0.57,0.88,0.89,1.0,0.79,0.63,0.63,0.72,1.0,0.85
quark.csv,0.61,0.25,0.43,0.16,0.36,0.02,0.03,0.48,0.92,0.23
xcsoar.csv,0.69,0.25,0.7,0.65,0.71,0.47,0.55,0.48,1.0,0.21
