,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.69,0.1,0.64,0.38,0.32,0.56,0.53,0.37,0.36,0.65
gamestone.csv,0.19,0.61,0.24,0.32,0.16,0.0,0.05,0.12,0.0,0.15
gbif-providertoolkit.csv,0.62,0.0,0.38,0.28,0.51,0.79,0.46,0.41,0.23,0.6
heekscad.csv,0.8,0.37,0.62,0.49,0.32,0.61,0.53,0.33,0.44,0.84
igarden.csv,0.7,0.31,0.54,0.56,0.36,0.71,0.42,0.27,0.52,0.79
levent.csv,0.69,0.12,0.03,0.0,0.35,0.77,0.47,0.0,0.0,0.15
owlapi.csv,0.63,0.0,0.59,0.25,0.28,0.72,0.5,0.52,0.43,0.86
pnotepad.csv,0.68,0.29,0.64,0.47,0.27,0.68,0.49,0.23,0.33,0.92
quark.csv,0.7,0.29,0.55,0.23,0.36,0.04,0.04,0.38,0.63,0.36
xcsoar.csv,0.76,0.25,0.69,0.44,0.38,0.58,0.51,0.29,0.33,0.34
