,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.65,0.08,0.53,0.32,0.19,0.76,0.49,0.27,0.22,0.92
gamestone.csv,1.0,0.47,0.47,0.29,0.12,0.0,0.5,0.09,0.0,0.8
gbif-providertoolkit.csv,0.63,0.0,0.46,0.37,0.38,0.74,0.34,0.3,0.23,0.79
heekscad.csv,0.83,0.26,0.65,0.41,0.21,0.8,0.42,0.22,0.29,0.87
igarden.csv,0.85,0.21,0.61,0.48,0.26,0.75,0.34,0.19,0.35,0.92
levent.csv,0.65,0.11,0.5,0.0,0.22,0.83,0.36,0.0,0.0,1.0
owlapi.csv,0.57,0.0,0.51,0.29,0.17,0.76,0.34,0.38,0.29,0.89
pnotepad.csv,0.85,0.18,0.5,0.31,0.16,0.74,0.41,0.14,0.2,1.0
quark.csv,0.82,0.33,0.77,0.38,0.36,1.0,0.12,0.32,0.48,0.85
xcsoar.csv,0.84,0.25,0.68,0.34,0.26,0.74,0.47,0.2,0.2,1.0
