,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.82,0.37,0.14,0.14,0.4,0.62,0.14,0.18,0.02,0.03,0.18,0.0,0.0,0.83,0.2,0.72,0.16,0.35
bionote.csv,0.07,0.13,0.25,0.0,0.06,0.1,0.0,0.0,0.14,0.03,0.11,0.3,0.93,0.15,0.05,0.19,0.19,0.0
buddata-ebxml-registry.csv,0.9,0.45,0.35,0.46,0.86,0.55,0.23,0.34,0.82,0.88,0.87,0.48,0.24,0.31,0.93,0.99,1.0,0.74
bullet.csv,0.78,0.3,0.38,0.2,0.99,0.26,0.22,0.31,0.47,0.71,0.53,0.41,0.17,0.29,0.79,0.76,0.63,0.71
bulmages.csv,0.0,0.06,0.34,0.0,0.31,0.26,0.0,0.92,0.09,0.07,0.15,0.11,0.0,0.25,0.13,0.13,0.03,0.29
bwapi.csv,0.84,0.44,0.35,0.46,0.87,0.42,0.2,0.34,0.75,0.81,0.99,0.45,0.25,0.28,0.91,0.98,0.72,0.74
cubefs.csv,0.33,0.39,0.33,0.47,0.53,0.35,0.17,0.21,0.98,0.75,0.21,0.44,0.22,0.28,0.68,0.75,0.75,0.3
emisview.csv,0.81,0.24,0.0,0.91,0.33,0.4,0.0,0.26,0.1,0.24,0.64,0.26,0.38,0.13,0.55,0.24,0.37,0.3
java-gnome.csv,0.39,0.24,0.5,0.31,0.55,0.56,0.23,0.35,0.28,0.98,0.47,0.34,0.22,0.33,0.43,0.19,0.58,0.41
jgameai.csv,0.49,0.94,0.33,0.24,0.46,0.54,0.07,0.35,0.61,0.46,0.64,0.19,0.32,0.06,0.59,0.45,0.48,0.48
megasquirtavr.csv,0.88,0.43,0.86,0.45,0.84,0.53,0.23,0.34,0.67,0.86,0.88,0.48,0.24,0.32,0.9,0.98,0.95,0.71
mp-rechnungs-und-kundenverwaltung.csv,0.76,0.06,0.24,0.21,0.57,0.45,0.24,0.33,0.42,0.66,0.7,0.96,0.5,0.31,0.42,0.39,0.42,0.54
mptvseries.csv,0.66,0.34,0.41,0.56,0.59,0.94,0.23,0.31,0.72,0.12,0.4,0.41,0.38,0.33,0.71,0.67,0.49,0.52
oorexx.csv,0.68,0.32,0.18,0.49,0.65,0.27,0.22,0.37,0.63,0.35,0.52,0.39,0.21,0.31,0.59,0.72,0.78,0.96
somap.csv,0.9,0.45,0.34,0.45,0.86,0.4,0.23,0.33,0.82,0.88,0.88,0.48,0.24,0.31,0.99,0.93,0.95,0.73
tktoolkit.csv,0.06,0.49,0.35,0.32,0.79,0.6,0.98,0.34,0.8,0.86,0.81,0.43,0.23,0.27,0.88,0.45,0.73,0.47
xharbour.csv,0.99,0.4,0.41,0.47,0.83,0.55,0.21,0.34,0.82,0.87,0.77,0.43,0.23,0.33,0.96,0.87,0.93,0.66
